Rank,Player,Stat,Line,Pick,Confidence,Tier,Recommendation,Rank Score,Result,Actual value,FULL_ALL Pick,FULL_ALL Confidence,FULL_ALL Rank score,FULL_ALL Result,FULL_TIGHT Pick,FULL_TIGHT Confidence,FULL_TIGHT Rank score,FULL_TIGHT Result,REDUCED_ALL Pick,REDUCED_ALL Confidence,REDUCED_ALL Rank score,REDUCED_ALL Result,REDUCED_TIGHT Pick,REDUCED_TIGHT Confidence,REDUCED_TIGHT Rank score,REDUCED_TIGHT Result,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio
17,Donovan Mitchell,TOV,3.5,UNDER,68.10%,A,BET,67.13,✅ HIT,3.0,UNDER,65.10%,64.21,✅ HIT,UNDER,64.90%,63.99,✅ HIT,UNDER,71.30%,70.4,✅ HIT,UNDER,70.90%,69.92,✅ HIT,-0.35,-1.16,-0.71,-1.7,1.18,1.8,2.0,0.0304,100.00%
18,RJ Barrett,RA,9.5,UNDER,68.00%,C,BET,66.96,✅ HIT,8.0,UNDER,68.60%,67.51,✅ HIT,UNDER,66.50%,65.44,✅ HIT,UNDER,69.60%,68.56,✅ HIT,UNDER,67.40%,66.33,✅ HIT,-0.74,-2.06,0.86,-2.1,1.35,1.6,2.0,0.0118,100.00%
19,Jalen Brunson,3PA,7.5,UNDER,63.00%,B,BET,66.86,✅ HIT,7.0,UNDER,60.20%,64.11,✅ HIT,UNDER,60.00%,63.9,✅ HIT,UNDER,66.10%,69.94,✅ HIT,UNDER,65.60%,69.5,✅ HIT,-0.03,-0.84,3.0,-1.5,1.44,1.8,1.6,0.0287,100.00%
20,Zion Williamson,REB,6.5,UNDER,64.80%,B,DO NOT BET,66.76,✅ HIT,6.0,UNDER,65.10%,67.04,✅ HIT,UNDER,63.70%,65.65,✅ HIT,UNDER,65.90%,67.85,✅ HIT,UNDER,64.50%,66.51,✅ HIT,-0.17,-0.36,1.5,-1.3,0.68,1.6,1.2,0.008,100.00%
21,Desmond Bane,STL,1.5,UNDER,67.30%,A,BET,66.57,✅ HIT,1.0,UNDER,64.10%,63.34,✅ HIT,UNDER,64.20%,63.43,✅ HIT,UNDER,70.50%,69.8,✅ HIT,UNDER,70.50%,69.73,✅ HIT,-0.34,-0.2,-0.71,-0.3,-0.2,1.0,1.6,0.0319,100.00%
22,Karl-Anthony Towns,3PA,4.5,UNDER,64.70%,B,BET,66.57,❌ MISS,6.0,UNDER,67.90%,69.83,❌ MISS,UNDER,67.10%,69.02,❌ MISS,UNDER,61.90%,63.8,❌ MISS,UNDER,61.70%,63.64,❌ MISS,-0.14,-0.63,1.33,-1.1,0.86,1.6,1.6,0.0287,100.00%
23,Kawhi Leonard,TOV,2.5,UNDER,69.70%,A,BET,66.51,✅ HIT,1.0,UNDER,66.60%,63.35,✅ HIT,UNDER,66.30%,63.09,✅ HIT,UNDER,73.30%,70.07,✅ HIT,UNDER,72.80%,69.53,✅ HIT,-0.56,-2.27,-1.38,-1.7,1.28,1.4,2.0,0.033,100.00%
24,Anthony Edwards,FTM,5.5,UNDER,64.60%,B,BET,66.5,❌ MISS,9.0,UNDER,67.40%,69.32,❌ MISS,UNDER,66.80%,68.66,❌ MISS,UNDER,62.20%,64.07,❌ MISS,UNDER,62.10%,63.96,❌ MISS,0.04,-0.02,0.31,-0.1,0.27,1.4,1.2,0.025,100.00%
25,Reed Sheppard,PRA,21.5,OVER,63.50%,D,DO NOT BET,66.41,❌ MISS,13.0,OVER,67.20%,70.1,❌ MISS,OVER,66.90%,69.85,❌ MISS,OVER,59.80%,62.71,❌ MISS,OVER,60.10%,62.99,❌ MISS,0.24,-0.77,-0.16,-6.5,8.5,1.6,1.6,0.0356,100.00%
26,Jalen Suggs,PA,20.5,UNDER,67.20%,D,STRONG BET,66.4,✅ HIT,16.0,UNDER,68.30%,67.52,✅ HIT,UNDER,68.10%,67.29,✅ HIT,UNDER,66.40%,65.58,✅ HIT,UNDER,66.00%,65.2,✅ HIT,-0.6,-0.12,-0.03,-0.3,-1.15,1.4,1.2,0.0102,100.00%
27,Jamal Murray,3PA,7.5,UNDER,66.50%,B,STRONG BET,66.11,✅ HIT,4.0,UNDER,67.80%,67.44,✅ HIT,UNDER,67.00%,66.65,✅ HIT,UNDER,65.80%,65.37,✅ HIT,UNDER,65.30%,64.95,✅ HIT,-0.02,-0.14,-1.35,-0.5,0.42,1.2,1.2,0.0099,100.00%
28,Nikola Jokić,STL,1.5,UNDER,66.00%,A,BET,66.06,❌ MISS,5.0,UNDER,63.50%,63.52,❌ MISS,UNDER,63.60%,63.62,❌ MISS,UNDER,68.50%,68.56,❌ MISS,UNDER,68.50%,68.53,❌ MISS,-0.23,-0.94,0.0,-0.7,0.53,1.4,1.6,0.0249,100.00%
29,Nikola Jokić,SB,2.5,UNDER,66.40%,A,BET,65.95,❌ MISS,6.0,UNDER,65.70%,65.33,❌ MISS,UNDER,65.60%,65.19,❌ MISS,UNDER,67.20%,66.77,❌ MISS,UNDER,66.90%,66.5,❌ MISS,-0.63,-0.79,0.0,-0.5,0.1,1.4,1.6,0.007,100.00%
30,Scottie Barnes,BLK,1.5,UNDER,68.90%,S,BET,65.74,✅ HIT,1.0,UNDER,71.80%,68.58,✅ HIT,UNDER,71.90%,68.73,✅ HIT,UNDER,65.80%,62.65,✅ HIT,UNDER,66.20%,63.0,✅ HIT,0.12,-1.75,-3.0,-0.7,0.75,1.4,2.0,0.0292,100.00%
31,Mikal Bridges,REB,4.5,UNDER,65.90%,B,STRONG BET,65.69,❌ MISS,5.0,UNDER,67.10%,66.89,❌ MISS,UNDER,65.70%,65.45,❌ MISS,UNDER,66.10%,65.87,❌ MISS,UNDER,64.80%,64.52,❌ MISS,-0.19,-0.15,-0.69,-0.3,-0.09,1.2,1.2,0.0085,100.00%
32,Reed Sheppard,REB,2.5,OVER,64.50%,B,DO NOT BET,65.67,❌ MISS,2.0,OVER,64.30%,65.44,❌ MISS,OVER,64.50%,65.66,❌ MISS,OVER,64.60%,65.77,❌ MISS,OVER,64.70%,65.82,❌ MISS,-0.16,-1.07,0.89,-2.1,1.79,1.8,2.0,0.0015,100.00%
33,Trey Murphy III,3PM,3.5,UNDER,66.50%,S,BET,65.62,❌ MISS,5.0,UNDER,65.10%,64.19,❌ MISS,UNDER,65.20%,64.28,❌ MISS,UNDER,67.90%,67.02,❌ MISS,UNDER,67.90%,66.99,❌ MISS,-0.55,0.75,-1.5,0.3,-0.52,0.6,0.4,0.0139,100.00%
34,Anthony Edwards,FGA,21.5,UNDER,66.10%,D,DO NOT BET,65.6,✅ HIT,15.0,UNDER,67.90%,67.36,✅ HIT,UNDER,65.50%,65.02,✅ HIT,UNDER,66.30%,65.83,✅ HIT,UNDER,64.70%,64.2,✅ HIT,-0.16,-0.5,-0.15,-2.9,2.0,1.2,1.6,0.0117,100.00%
35,Anthony Edwards,STL,1.5,UNDER,64.60%,A,BET WITH CAUTION,65.19,✅ HIT,1.0,UNDER,67.00%,67.6,✅ HIT,UNDER,67.00%,67.63,✅ HIT,UNDER,62.10%,62.71,✅ HIT,UNDER,62.20%,62.8,✅ HIT,-0.05,0.32,-0.58,0.5,-0.58,1.0,1.2,0.0243,100.00%
36,Trey Murphy III,STL,1.5,UNDER,61.80%,A,BET WITH CAUTION,65.18,❌ MISS,3.0,UNDER,64.30%,67.64,❌ MISS,UNDER,64.40%,67.72,❌ MISS,UNDER,59.30%,62.6,❌ MISS,UNDER,59.40%,62.75,❌ MISS,0.07,0.75,1.5,0.3,-0.27,1.0,0.4,0.025,100.00%
37,OG Anunoby,AST,2.5,UNDER,65.80%,C,STRONG BET,65.11,✅ HIT,1.0,UNDER,65.10%,64.4,✅ HIT,UNDER,64.30%,63.54,✅ HIT,UNDER,67.50%,66.72,✅ HIT,UNDER,66.50%,65.79,✅ HIT,-0.17,-0.49,-1.38,-0.9,0.59,1.6,1.6,0.0123,100.00%
