Rank,Player,Stat,Line,Pick,Confidence,Tier,Recommendation,Rank Score,Result,Actual value,FULL_ALL Pick,FULL_ALL Confidence,FULL_ALL Rank score,FULL_ALL Result,FULL_TIGHT Pick,FULL_TIGHT Confidence,FULL_TIGHT Rank score,FULL_TIGHT Result,REDUCED_ALL Pick,REDUCED_ALL Confidence,REDUCED_ALL Rank score,REDUCED_ALL Result,REDUCED_TIGHT Pick,REDUCED_TIGHT Confidence,REDUCED_TIGHT Rank score,REDUCED_TIGHT Result,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio
1,Victor Wembanyama,STL,1.5,UNDER,81.0%,A,STRONG BET,78.26,NO GAME,,UNDER,85.6%,82.93,NO GAME,UNDER,85.4%,82.69,NO GAME,UNDER,76.5%,73.8,NO GAME,UNDER,76.3%,73.62,NO GAME,-0.49,-0.1,-3.0,-0.1,-0.4,1.4,1.2,0.0455,100.0%
2,Giannis Antetokounmpo,STL,1.5,UNDER,77.6%,A,STRONG BET,76.21,✅ HIT,1.0,UNDER,75.7%,74.31,✅ HIT,UNDER,75.5%,74.19,✅ HIT,UNDER,79.6%,78.28,✅ HIT,UNDER,79.4%,78.06,✅ HIT,-0.36,-0.2,-1.86,-0.3,-0.23,1.6,1.6,0.0196,100.0%
3,Jaime Jaquez Jr.,TOV,2.5,UNDER,78.8%,A,STRONG BET,76.16,✅ HIT,0.0,UNDER,77.8%,75.15,✅ HIT,UNDER,77.2%,74.61,✅ HIT,UNDER,80.4%,77.78,✅ HIT,UNDER,79.7%,77.09,✅ HIT,-0.49,-1.74,-2.0,-1.3,0.93,2.0,2.0,0.0131,100.0%
4,VJ Edgecombe,FGA,17.5,UNDER,81.4%,D,STRONG BET,76.0,✅ HIT,14.0,UNDER,83.0%,77.6,✅ HIT,UNDER,79.2%,73.73,✅ HIT,UNDER,83.3%,77.86,✅ HIT,UNDER,80.2%,74.8,✅ HIT,-1.07,-0.84,-0.92,-3.3,-0.91,1.6,1.6,0.0177,100.0%
5,Dyson Daniels,3PM,0.5,UNDER,75.8%,S,STRONG BET,75.72,NO GAME,,UNDER,76.3%,76.15,NO GAME,UNDER,76.2%,76.11,NO GAME,UNDER,75.5%,75.4,NO GAME,UNDER,75.3%,75.24,NO GAME,-0.63,-0.2,-0.58,-0.1,-0.21,1.6,1.2,0.0041,100.0%
6,Dyson Daniels,STL,2.5,UNDER,73.0%,A,STRONG BET,74.93,NO GAME,,UNDER,68.9%,70.82,NO GAME,UNDER,68.9%,70.82,NO GAME,UNDER,77.2%,79.13,NO GAME,UNDER,77.0%,78.95,NO GAME,-0.37,-0.06,1.73,-0.1,-0.5,1.2,1.2,0.0411,100.0%
7,Ivica Zubac,REB,6.5,OVER,80.3%,B,STRONG BET,74.85,❌ MISS,6.0,OVER,80.0%,74.56,❌ MISS,OVER,79.6%,74.17,❌ MISS,OVER,81.0%,75.62,❌ MISS,OVER,80.5%,75.05,❌ MISS,-0.93,-0.85,-1.14,-4.1,-0.4,2.0,2.0,0.0054,100.0%
8,Stephon Castle,STL,1.5,UNDER,79.1%,A,STRONG BET,74.58,✅ HIT,0.0,UNDER,77.9%,73.29,✅ HIT,UNDER,77.7%,73.13,✅ HIT,UNDER,80.6%,76.06,✅ HIT,UNDER,80.4%,75.83,✅ HIT,-0.31,-1.12,-4.5,-0.9,0.65,1.6,1.6,0.0137,100.0%
9,Josh Giddey,TOV,4.5,UNDER,76.0%,A,STRONG BET,74.17,❌ MISS,6.0,UNDER,75.7%,73.84,❌ MISS,UNDER,75.1%,73.34,❌ MISS,UNDER,76.9%,75.05,❌ MISS,UNDER,76.2%,74.43,❌ MISS,-1.38,-0.79,-0.17,-0.5,-0.37,1.4,1.6,0.0064,100.0%
10,Quentin Grimes,3PA,7.5,UNDER,78.1%,B,STRONG BET,73.71,❌ MISS,8.0,UNDER,78.5%,74.15,❌ MISS,UNDER,77.1%,72.74,❌ MISS,UNDER,78.9%,74.53,❌ MISS,UNDER,77.8%,73.44,❌ MISS,-0.91,-0.96,-1.73,-2.3,0.12,1.4,1.2,0.0068,100.0%
