Rank,Player,Stat,Line,Pick,Confidence,Tier,Recommendation,Rank Score,Result,Actual value,FULL_ALL Pick,FULL_ALL Confidence,FULL_ALL Rank score,FULL_ALL Result,FULL_TIGHT Pick,FULL_TIGHT Confidence,FULL_TIGHT Rank score,FULL_TIGHT Result,REDUCED_ALL Pick,REDUCED_ALL Confidence,REDUCED_ALL Rank score,REDUCED_ALL Result,REDUCED_TIGHT Pick,REDUCED_TIGHT Confidence,REDUCED_TIGHT Rank score,REDUCED_TIGHT Result,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio
11,Quentin Grimes,AST,4.5,UNDER,78.5%,C,STRONG BET,73.68,❌ MISS,5.0,UNDER,78.6%,73.81,❌ MISS,UNDER,76.8%,72.08,❌ MISS,UNDER,80.0%,75.27,❌ MISS,UNDER,78.3%,73.57,❌ MISS,-1.48,-3.07,-0.91,-2.3,1.19,1.8,2.0,0.0113,100.0%
12,VJ Edgecombe,AST,4.5,UNDER,75.5%,C,STRONG BET,73.53,✅ HIT,0.0,UNDER,76.8%,74.78,✅ HIT,UNDER,75.2%,73.13,✅ HIT,UNDER,75.9%,73.85,✅ HIT,UNDER,74.4%,72.34,✅ HIT,-0.43,-0.81,-2.0,-1.1,0.51,1.8,1.6,0.009,100.0%
13,Jalen Suggs,TOV,2.5,UNDER,71.1%,A,STRONG BET,72.91,❌ MISS,3.0,UNDER,73.2%,75.04,❌ MISS,UNDER,72.8%,74.6,❌ MISS,UNDER,69.4%,71.21,❌ MISS,UNDER,68.9%,70.79,❌ MISS,0.03,-0.07,0.46,-0.1,0.14,1.4,1.6,0.0192,100.0%
14,Quentin Grimes,REB,4.5,UNDER,73.8%,B,STRONG BET,72.24,✅ HIT,3.0,UNDER,74.4%,72.78,✅ HIT,UNDER,72.9%,71.24,✅ HIT,UNDER,74.8%,73.22,✅ HIT,UNDER,73.3%,71.71,✅ HIT,-0.59,-0.2,-1.34,-0.3,-0.57,1.4,0.8,0.008,100.0%
15,Bam Adebayo,STL,1.5,UNDER,71.3%,A,STRONG BET,71.97,✅ HIT,1.0,UNDER,70.3%,70.97,✅ HIT,UNDER,70.3%,70.94,✅ HIT,UNDER,72.4%,73.04,✅ HIT,UNDER,72.3%,72.93,✅ HIT,-0.2,0.36,-0.71,0.7,-1.1,1.6,1.2,0.0101,100.0%
16,Quentin Grimes,RA,8.5,UNDER,74.7%,C,STRONG BET,71.96,✅ HIT,8.0,UNDER,76.2%,73.51,✅ HIT,UNDER,73.6%,70.94,✅ HIT,UNDER,75.7%,73.04,✅ HIT,UNDER,73.0%,70.35,✅ HIT,-0.69,-0.97,-1.15,-2.1,0.62,1.6,1.6,0.0134,100.0%
17,LeBron James,STL,1.5,UNDER,70.6%,A,STRONG BET,71.43,❌ MISS,2.0,UNDER,68.1%,68.97,❌ MISS,UNDER,68.1%,68.98,❌ MISS,UNDER,73.1%,73.96,❌ MISS,UNDER,73.0%,73.84,❌ MISS,-0.35,-0.26,0.46,-0.3,-0.11,1.4,1.2,0.0246,100.0%
18,Desmond Bane,STL,1.5,UNDER,71.7%,A,STRONG BET,71.18,❌ MISS,3.0,UNDER,71.5%,70.98,❌ MISS,UNDER,71.4%,70.93,❌ MISS,UNDER,72.0%,71.45,❌ MISS,UNDER,71.9%,71.35,❌ MISS,-0.34,-0.2,-0.66,-0.3,-0.2,1.2,1.6,0.0022,100.0%
19,De'Aaron Fox,STL,1.5,UNDER,72.6%,A,STRONG BET,71.17,✅ HIT,1.0,UNDER,71.2%,69.72,✅ HIT,UNDER,71.1%,69.68,✅ HIT,UNDER,74.2%,72.7,✅ HIT,UNDER,74.0%,72.56,✅ HIT,-0.45,-0.79,-1.33,-0.5,0.21,1.4,1.6,0.0147,100.0%
20,Kevin Porter Jr.,3PM,1.5,UNDER,71.2%,S,STRONG BET,71.05,✅ HIT,0.0,UNDER,73.7%,73.59,✅ HIT,UNDER,73.7%,73.58,✅ HIT,UNDER,68.7%,68.55,✅ HIT,UNDER,68.6%,68.51,✅ HIT,-0.29,-0.94,-0.5,-0.7,0.49,1.8,1.6,0.0253,100.0%
21,Trae Young,AST,5.5,OVER,75.5%,C,STRONG BET,71.02,✅ HIT,6.0,OVER,76.7%,72.25,✅ HIT,OVER,74.3%,69.82,✅ HIT,OVER,76.7%,72.25,✅ HIT,OVER,74.2%,69.76,✅ HIT,-0.92,-1.05,-1.21,-3.5,0.42,1.8,2.0,0.0123,100.0%
22,Desmond Bane,3PM,2.5,UNDER,72.2%,S,STRONG BET,70.68,✅ HIT,2.0,UNDER,72.4%,70.92,✅ HIT,UNDER,72.4%,70.92,✅ HIT,UNDER,72.0%,70.49,✅ HIT,UNDER,71.9%,70.39,✅ HIT,-0.46,-1.08,-0.66,-1.1,0.63,1.2,1.6,0.0024,100.0%
23,Jalen Johnson,RA,18.5,UNDER,72.2%,C,STRONG BET,70.46,✅ HIT,18.0,UNDER,70.7%,69.0,✅ HIT,UNDER,68.5%,66.76,✅ HIT,UNDER,76.1%,74.4,✅ HIT,UNDER,73.4%,71.69,✅ HIT,-0.03,-1.08,-2.07,-5.5,5.34,1.6,2.0,0.0287,100.0%
24,Jalen Suggs,AST,6.5,UNDER,71.8%,C,STRONG BET,70.44,❌ MISS,8.0,UNDER,72.5%,71.14,❌ MISS,UNDER,71.1%,69.73,❌ MISS,UNDER,72.5%,71.1,❌ MISS,UNDER,71.2%,69.8,❌ MISS,-0.51,-0.52,-0.31,-1.3,0.04,1.2,1.2,0.0068,100.0%
25,Jaylen Wells,3PA,7.5,UNDER,78.9%,B,STRONG BET,70.4,✅ HIT,7.0,UNDER,78.1%,69.58,✅ HIT,UNDER,76.7%,68.19,✅ HIT,UNDER,81.0%,72.48,✅ HIT,UNDER,79.9%,71.33,✅ HIT,-2.12,0.1,-5.73,0.1,-2.27,1.4,0.8,0.0164,100.0%
26,Luka Dončić,SB,2.5,UNDER,69.7%,A,BET,70.24,❌ MISS,4.0,UNDER,67.9%,68.44,❌ MISS,UNDER,67.7%,68.22,❌ MISS,UNDER,71.9%,72.36,❌ MISS,UNDER,71.4%,71.92,❌ MISS,-0.34,0.35,-0.42,0.5,-0.98,1.4,0.8,0.0191,100.0%
27,Trae Young,PTS,13.5,OVER,76.6%,D,STRONG BET,69.46,✅ HIT,15.0,OVER,78.2%,71.12,✅ HIT,OVER,77.1%,70.01,✅ HIT,OVER,76.1%,68.99,✅ HIT,OVER,74.9%,67.74,✅ HIT,-0.67,-0.6,-2.04,-4.5,-0.5,1.2,1.2,0.0125,100.0%
28,Devin Booker,REB,4.5,UNDER,68.8%,B,STRONG BET,69.36,❌ MISS,7.0,UNDER,71.1%,71.67,❌ MISS,UNDER,69.6%,70.17,❌ MISS,UNDER,67.9%,68.5,❌ MISS,UNDER,66.5%,67.1,❌ MISS,-0.53,-0.1,0.15,-0.1,-0.44,1.6,1.2,0.0172,100.0%
29,Quentin Grimes,3PM,2.5,UNDER,71.8%,S,STRONG BET,69.21,✅ HIT,1.0,UNDER,72.4%,69.79,✅ HIT,UNDER,72.4%,69.8,✅ HIT,UNDER,71.2%,68.67,✅ HIT,UNDER,71.1%,68.58,✅ HIT,-0.56,-1.19,-1.51,-1.5,0.8,1.4,1.6,0.0059,100.0%
30,Jalen Green,STL,1.5,UNDER,68.8%,A,BET,69.12,❌ MISS,4.0,UNDER,67.5%,67.83,❌ MISS,UNDER,67.5%,67.85,❌ MISS,UNDER,70.1%,70.44,❌ MISS,UNDER,70.0%,70.37,❌ MISS,-0.26,-0.2,-0.0,-0.3,-0.08,1.2,1.6,0.0129,100.0%
31,Cooper Flagg,AST,5.5,UNDER,73.3%,C,STRONG BET,69.12,❌ MISS,7.0,UNDER,73.6%,69.38,❌ MISS,UNDER,72.1%,67.91,❌ MISS,UNDER,74.5%,70.3,❌ MISS,UNDER,73.1%,68.87,❌ MISS,-0.81,-0.32,-3.0,-0.5,-0.75,1.2,0.8,0.0086,100.0%
32,Shai Gilgeous-Alexander,FTM,8.5,UNDER,67.9%,B,STRONG BET,68.97,✅ HIT,7.0,UNDER,69.1%,70.21,✅ HIT,UNDER,68.3%,69.38,✅ HIT,UNDER,67.4%,68.51,✅ HIT,UNDER,66.7%,67.79,✅ HIT,-0.07,-0.03,0.25,-0.1,-0.16,1.2,1.2,0.0091,100.0%
33,Alex Sarr,REB,5.5,OVER,72.5%,B,STRONG BET,68.94,❌ MISS,4.0,OVER,73.3%,69.75,❌ MISS,OVER,73.1%,69.6,❌ MISS,OVER,71.9%,68.34,❌ MISS,OVER,71.6%,68.07,❌ MISS,-0.77,-0.68,-1.52,-1.9,-0.25,1.6,1.6,0.0074,100.0%
34,Josh Giddey,3PM,2.5,UNDER,68.1%,S,BET,68.82,❌ MISS,6.0,UNDER,67.5%,68.18,❌ MISS,UNDER,67.5%,68.24,❌ MISS,UNDER,68.7%,69.44,❌ MISS,UNDER,68.7%,69.4,❌ MISS,-0.55,0.6,0.1,0.7,-1.34,1.2,0.8,0.0061,100.0%
35,Quentin Grimes,PA,22.5,UNDER,76.1%,D,STRONG BET,68.74,✅ HIT,19.0,UNDER,76.8%,69.41,✅ HIT,UNDER,76.6%,69.25,✅ HIT,UNDER,75.7%,68.3,✅ HIT,UNDER,75.4%,68.02,✅ HIT,-0.69,-0.39,-1.56,-3.5,-2.63,1.4,1.2,0.006,100.0%
36,Dyson Daniels,REB,7.5,UNDER,69.1%,B,STRONG BET,68.72,NO GAME,,UNDER,68.7%,68.35,NO GAME,UNDER,67.2%,66.89,NO GAME,UNDER,70.9%,70.55,NO GAME,UNDER,69.4%,69.09,NO GAME,-0.42,-0.14,-0.1,-0.3,-0.59,1.2,1.2,0.0132,100.0%
37,Chet Holmgren,3PA,4.5,UNDER,66.8%,B,STRONG BET,68.67,✅ HIT,4.0,UNDER,63.5%,65.34,✅ HIT,UNDER,63.0%,64.87,✅ HIT,UNDER,70.7%,72.59,✅ HIT,UNDER,70.0%,71.88,✅ HIT,-0.24,-0.08,1.5,-0.3,-0.59,1.6,1.2,0.0358,100.0%
38,Alex Sarr,PRA,18.5,OVER,79.1%,D,STRONG BET,68.62,✅ HIT,20.0,OVER,79.7%,69.15,✅ HIT,OVER,79.2%,68.7,✅ HIT,OVER,78.7%,68.24,✅ HIT,OVER,78.9%,68.39,✅ HIT,-1.14,-0.64,-1.46,-5.1,-3.96,1.8,1.6,0.0035,100.0%
39,Jalen Johnson,REB,10.5,UNDER,69.2%,B,STRONG BET,68.51,✅ HIT,9.0,UNDER,69.6%,68.94,✅ HIT,UNDER,68.1%,67.45,✅ HIT,UNDER,70.2%,69.56,✅ HIT,UNDER,68.8%,68.11,✅ HIT,-0.04,-1.61,-0.3,-3.9,3.8,1.4,2.0,0.008,100.0%
40,Devin Booker,FTM,7.5,UNDER,69.1%,B,STRONG BET,68.5,❌ MISS,11.0,UNDER,70.0%,69.38,❌ MISS,UNDER,69.1%,68.47,❌ MISS,UNDER,69.1%,68.53,❌ MISS,UNDER,68.2%,67.63,❌ MISS,-0.16,-0.19,-1.1,-0.9,0.16,1.6,1.6,0.0062,100.0%
41,Trae Young,3PA,4.5,OVER,71.7%,B,STRONG BET,68.31,❌ MISS,4.0,OVER,73.4%,70.05,❌ MISS,OVER,71.2%,67.88,❌ MISS,OVER,71.9%,68.59,❌ MISS,OVER,70.1%,66.74,❌ MISS,-0.85,-0.88,-1.77,-1.3,0.05,1.4,1.6,0.012,100.0%
42,Jaime Jaquez Jr.,PR,23.5,UNDER,75.3%,D,STRONG BET,68.22,✅ HIT,10.0,UNDER,74.7%,67.58,✅ HIT,UNDER,74.0%,66.9,✅ HIT,UNDER,76.3%,69.24,✅ HIT,UNDER,76.2%,69.14,✅ HIT,-0.56,-0.31,-4.53,-1.7,-1.37,1.4,0.8,0.01,100.0%
43,Chet Holmgren,SB,2.5,UNDER,68.5%,A,BET,68.12,✅ HIT,0.0,UNDER,70.8%,70.38,✅ HIT,UNDER,70.4%,70.06,✅ HIT,UNDER,66.5%,66.14,✅ HIT,UNDER,66.3%,65.9,✅ HIT,-0.02,0.19,-1.5,0.3,-0.34,1.0,0.8,0.021,100.0%
44,VJ Edgecombe,PTS,19.5,UNDER,72.7%,D,STRONG BET,68.07,✅ HIT,10.0,UNDER,74.2%,69.53,✅ HIT,UNDER,73.7%,69.09,✅ HIT,UNDER,71.6%,66.99,✅ HIT,UNDER,71.3%,66.69,✅ HIT,-0.64,-0.17,-0.71,-1.1,-2.99,1.0,0.8,0.0125,100.0%
45,VJ Edgecombe,3PA,6.5,UNDER,68.2%,B,STRONG BET,68.04,✅ HIT,5.0,UNDER,69.5%,69.37,✅ HIT,UNDER,68.6%,68.46,✅ HIT,UNDER,67.6%,67.43,✅ HIT,UNDER,67.1%,66.9,✅ HIT,-0.26,-0.3,-0.25,-0.9,0.12,1.4,1.6,0.0095,100.0%
46,Quentin Grimes,PTS,18.5,UNDER,74.6%,D,STRONG BET,67.91,✅ HIT,14.0,UNDER,76.3%,69.61,✅ HIT,UNDER,75.8%,69.12,✅ HIT,UNDER,73.3%,66.63,✅ HIT,UNDER,73.0%,66.28,✅ HIT,-0.67,-0.21,-1.72,-1.7,-3.82,1.4,1.2,0.0147,100.0%
47,Desmond Bane,3PA,5.5,UNDER,70.3%,B,STRONG BET,67.87,✅ HIT,5.0,UNDER,71.8%,69.42,✅ HIT,UNDER,70.8%,68.36,✅ HIT,UNDER,69.6%,67.18,✅ HIT,UNDER,68.9%,66.53,✅ HIT,-0.29,-1.74,-1.3,-1.7,1.42,1.2,2.0,0.0111,100.0%
48,Jaime Jaquez Jr.,PRA,28.5,UNDER,75.2%,D,STRONG BET,67.84,✅ HIT,17.0,UNDER,75.5%,68.13,✅ HIT,UNDER,74.8%,67.51,✅ HIT,UNDER,75.3%,68.0,✅ HIT,UNDER,75.0%,67.71,✅ HIT,-0.71,-0.15,-4.47,-0.7,-2.7,1.4,0.8,0.0024,100.0%
49,Giannis Antetokounmpo,3PM,0.5,UNDER,78.4%,S,STRONG BET,67.72,✅ HIT,0.0,UNDER,79.1%,68.34,✅ HIT,UNDER,79.0%,68.27,✅ HIT,UNDER,78.0%,67.22,✅ HIT,UNDER,77.8%,67.02,✅ HIT,-6.0,-6.0,-0.27,-0.5,0.44,1.6,2.0,0.0059,100.0%
50,Jaylen Wells,3PM,2.5,UNDER,69.2%,S,BET,67.64,❌ MISS,3.0,UNDER,68.2%,66.59,❌ MISS,UNDER,68.2%,66.64,❌ MISS,UNDER,70.3%,68.71,❌ MISS,UNDER,70.2%,68.64,❌ MISS,-0.82,0.94,-2.12,0.7,-1.31,1.0,0.4,0.0103,100.0%
51,Chet Holmgren,3PM,1.5,UNDER,64.6%,S,BET WITH CAUTION,67.47,✅ HIT,1.0,UNDER,62.3%,65.09,✅ HIT,UNDER,62.4%,65.21,✅ HIT,UNDER,67.0%,69.81,✅ HIT,UNDER,67.0%,69.8,✅ HIT,-0.1,0.04,1.5,0.1,-0.31,1.6,1.6,0.0233,100.0%
52,VJ Edgecombe,PA,23.5,UNDER,72.0%,D,STRONG BET,67.4,✅ HIT,10.0,UNDER,74.6%,70.07,✅ HIT,UNDER,74.5%,69.89,✅ HIT,UNDER,69.6%,65.0,✅ HIT,UNDER,69.2%,64.66,✅ HIT,-0.55,-0.23,-0.81,-1.7,-2.47,1.2,0.8,0.0258,100.0%
53,Josh Giddey,STL,1.5,UNDER,67.9%,A,BET,67.36,❌ MISS,2.0,UNDER,65.5%,64.92,❌ MISS,UNDER,65.5%,64.98,❌ MISS,UNDER,70.3%,69.8,❌ MISS,UNDER,70.3%,69.73,❌ MISS,-0.83,-0.79,0.4,-0.5,-0.02,1.2,1.6,0.0241,100.0%
54,Tyler Herro,TOV,2.5,UNDER,68.1%,A,BET,67.32,NO GAME,,UNDER,68.8%,68.06,NO GAME,UNDER,68.5%,67.73,NO GAME,UNDER,67.7%,66.94,NO GAME,UNDER,67.3%,66.57,NO GAME,-0.37,-0.06,-0.71,-0.1,-0.5,1.0,0.8,0.0059,100.0%
55,Shai Gilgeous-Alexander,PTS,30.5,UNDER,61.2%,D,DO NOT BET,67.2,❌ MISS,35.0,UNDER,62.2%,68.19,❌ MISS,UNDER,62.2%,68.13,❌ MISS,UNDER,60.2%,66.18,❌ MISS,UNDER,60.3%,66.31,❌ MISS,0.3,0.07,3.0,0.3,0.9,1.4,1.2,0.0096,100.0%
56,Jaylen Wells,AST,2.5,UNDER,69.2%,C,STRONG BET,67.2,✅ HIT,2.0,UNDER,71.9%,69.87,✅ HIT,UNDER,70.5%,68.5,✅ HIT,UNDER,67.7%,65.7,✅ HIT,UNDER,66.8%,64.75,✅ HIT,-0.93,-1.68,-0.19,-1.5,0.67,1.6,2.0,0.0207,100.0%
57,Victor Wembanyama,SB,4.5,UNDER,67.0%,A,BET,67.17,NO GAME,,UNDER,69.5%,69.69,NO GAME,UNDER,69.3%,69.42,NO GAME,UNDER,64.7%,64.87,NO GAME,UNDER,64.5%,64.7,NO GAME,-0.26,0.56,-0.25,1.1,-1.6,0.6,0.4,0.0239,100.0%
58,Cade Cunningham,3PM,2.5,UNDER,66.6%,S,BET,67.12,✅ HIT,0.0,UNDER,67.0%,67.56,✅ HIT,UNDER,67.1%,67.62,✅ HIT,UNDER,66.1%,66.65,✅ HIT,UNDER,66.1%,66.65,✅ HIT,-0.2,0.34,-0.0,0.7,-1.11,0.8,0.8,0.0047,100.0%
59,Cade Cunningham,SB,2.5,UNDER,68.9%,A,BET,67.06,❌ MISS,3.0,UNDER,70.7%,68.84,❌ MISS,UNDER,70.3%,68.52,❌ MISS,UNDER,67.4%,65.58,❌ MISS,UNDER,67.1%,65.31,❌ MISS,-0.19,-1.68,-1.0,-1.5,1.33,1.2,2.0,0.0162,100.0%
60,Cooper Flagg,3PM,0.5,OVER,70.2%,S,STRONG BET,66.94,❌ MISS,0.0,OVER,69.9%,66.67,❌ MISS,OVER,69.5%,66.25,❌ MISS,OVER,71.0%,67.75,❌ MISS,OVER,70.3%,67.09,❌ MISS,-1.1,-0.2,-3.0,-0.1,-0.44,1.6,1.2,0.0055,100.0%
61,Derrick White,BLK,1.5,UNDER,64.2%,S,BET,66.93,NO GAME,,UNDER,63.0%,65.77,NO GAME,UNDER,63.4%,66.19,NO GAME,UNDER,64.9%,67.69,NO GAME,UNDER,65.3%,68.07,NO GAME,-0.07,-1.12,3.0,-0.9,0.84,1.0,1.6,0.0097,100.0%
62,Quentin Grimes,PRA,26.5,UNDER,74.5%,D,STRONG BET,66.92,✅ HIT,22.0,UNDER,75.8%,68.13,✅ HIT,UNDER,75.1%,67.51,✅ HIT,UNDER,73.8%,66.17,✅ HIT,UNDER,73.5%,65.86,✅ HIT,-0.65,-0.33,-1.53,-3.3,-3.2,1.4,1.2,0.0094,100.0%
63,Jaime Jaquez Jr.,PA,22.5,UNDER,72.3%,D,STRONG BET,66.87,✅ HIT,13.0,UNDER,71.5%,66.14,✅ HIT,UNDER,71.3%,65.94,✅ HIT,UNDER,73.2%,67.85,✅ HIT,UNDER,72.9%,67.54,✅ HIT,-0.55,0.02,-3.37,0.1,-2.78,1.2,0.4,0.0084,100.0%
64,Josh Giddey,FGA,14.5,UNDER,67.2%,D,DO NOT BET,66.6,❌ MISS,17.0,UNDER,68.4%,67.75,❌ MISS,UNDER,66.0%,65.34,❌ MISS,UNDER,68.2%,67.57,❌ MISS,UNDER,66.3%,65.72,❌ MISS,-0.46,-0.73,0.04,-1.7,0.64,1.6,1.6,0.0107,100.0%
65,VJ Edgecombe,TOV,2.5,UNDER,68.5%,A,BET,66.6,❌ MISS,3.0,UNDER,65.1%,63.18,❌ MISS,UNDER,64.9%,62.97,❌ MISS,UNDER,72.3%,70.38,❌ MISS,UNDER,71.8%,69.88,❌ MISS,-1.34,-1.84,0.33,-0.9,0.24,1.6,2.0,0.0353,100.0%
66,Nikola Jokić,STL,1.5,UNDER,65.2%,A,BET,66.59,❌ MISS,3.0,UNDER,68.0%,69.37,❌ MISS,UNDER,68.0%,69.38,❌ MISS,UNDER,62.4%,63.75,❌ MISS,UNDER,62.5%,63.83,❌ MISS,-0.05,0.05,0.27,0.1,-0.2,1.2,1.2,0.028,100.0%
67,Alex Sarr,3PM,0.5,OVER,67.5%,S,BET,66.55,✅ HIT,1.0,OVER,67.6%,66.65,✅ HIT,OVER,67.2%,66.24,✅ HIT,OVER,67.9%,66.98,✅ HIT,OVER,67.3%,66.35,✅ HIT,-0.4,-0.81,-0.58,-1.1,0.55,1.4,1.6,0.0029,100.0%
68,Jamal Murray,TOV,2.5,UNDER,66.7%,A,BET,66.3,❌ MISS,4.0,UNDER,66.5%,66.15,❌ MISS,UNDER,66.3%,65.89,❌ MISS,UNDER,67.1%,66.74,❌ MISS,UNDER,66.8%,66.4,❌ MISS,-0.07,-0.19,-1.33,-0.5,0.31,1.4,1.6,0.0031,100.0%
69,Paolo Banchero,3PM,1.5,UNDER,64.9%,S,BET WITH CAUTION,66.23,✅ HIT,0.0,UNDER,67.6%,68.93,✅ HIT,UNDER,67.6%,68.98,✅ HIT,UNDER,62.1%,63.46,✅ HIT,UNDER,62.2%,63.56,✅ HIT,-0.37,0.12,0.5,0.1,-0.4,1.4,1.2,0.0272,100.0%
70,VJ Edgecombe,RA,9.5,UNDER,65.3%,C,BET WITH CAUTION,66.22,✅ HIT,5.0,UNDER,65.4%,66.3,✅ HIT,UNDER,63.6%,64.51,✅ HIT,UNDER,67.1%,68.02,✅ HIT,UNDER,65.1%,66.04,✅ HIT,-0.03,-0.12,-0.25,-0.3,0.23,1.4,0.8,0.0125,100.0%
71,Jaylen Wells,PTS,16.5,UNDER,72.9%,D,STRONG BET,66.07,❌ MISS,23.0,UNDER,74.3%,67.41,❌ MISS,UNDER,73.8%,66.96,❌ MISS,UNDER,72.0%,65.12,❌ MISS,UNDER,71.7%,64.81,❌ MISS,-0.68,-0.12,-3.2,-0.7,-3.17,1.0,0.8,0.0113,100.0%
72,VJ Edgecombe,3PM,2.5,UNDER,65.8%,S,BET,66.07,✅ HIT,0.0,UNDER,67.0%,67.27,✅ HIT,UNDER,67.0%,67.33,✅ HIT,UNDER,64.5%,64.81,✅ HIT,UNDER,64.6%,64.86,✅ HIT,-0.26,-0.41,-0.0,-0.7,0.25,1.4,1.6,0.0124,100.0%
73,Devin Booker,FGA,20.5,UNDER,70.4%,D,STRONG BET,66.0,❌ MISS,31.0,UNDER,72.1%,67.68,❌ MISS,UNDER,69.2%,64.76,❌ MISS,UNDER,71.3%,66.87,❌ MISS,UNDER,69.1%,64.68,❌ MISS,-1.88,-0.4,-0.74,-0.5,-1.88,1.0,0.8,0.0131,100.0%
74,Alex Sarr,PTS,11.5,OVER,71.9%,D,STRONG BET,65.97,✅ HIT,16.0,OVER,74.5%,68.56,✅ HIT,OVER,73.4%,67.48,✅ HIT,OVER,70.4%,64.51,✅ HIT,OVER,69.3%,63.34,✅ HIT,-0.79,-0.35,-0.7,-2.5,-3.19,1.6,1.2,0.0212,100.0%
75,Myles Turner,3PA,4.5,OVER,66.8%,B,STRONG BET,65.74,✅ HIT,5.0,OVER,68.5%,67.43,✅ HIT,OVER,66.6%,65.48,✅ HIT,OVER,67.0%,65.85,✅ HIT,OVER,65.3%,64.19,✅ HIT,-0.6,-0.41,-0.46,-0.7,-0.33,1.4,1.2,0.0116,100.0%
