Rank,Player,Stat,Line,Pick,Confidence,Tier,Recommendation,Rank Score,Result,Actual value,FULL_ALL Pick,FULL_ALL Confidence,FULL_ALL Rank score,FULL_ALL Result,FULL_TIGHT Pick,FULL_TIGHT Confidence,FULL_TIGHT Rank score,FULL_TIGHT Result,REDUCED_ALL Pick,REDUCED_ALL Confidence,REDUCED_ALL Rank score,REDUCED_ALL Result,REDUCED_TIGHT Pick,REDUCED_TIGHT Confidence,REDUCED_TIGHT Rank score,REDUCED_TIGHT Result,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio
1,Kevin Durant,STL,1.5,UNDER,78.9%,A,STRONG BET,79.07,✅ HIT,1.0,UNDER,79.7%,79.85,✅ HIT,UNDER,79.5%,79.67,✅ HIT,UNDER,78.3%,78.47,✅ HIT,UNDER,78.1%,78.27,✅ HIT,-0.41,-0.19,-0.0,-0.3,-0.36,1.4,1.2,0.007,100.0%
2,Julius Randle,STL,1.5,UNDER,78.6%,A,STRONG BET,78.01,✅ HIT,1.0,UNDER,79.8%,79.27,✅ HIT,UNDER,79.7%,79.08,✅ HIT,UNDER,77.5%,76.95,✅ HIT,UNDER,77.3%,76.76,✅ HIT,-0.59,-0.94,-0.41,-0.7,0.26,1.8,1.6,0.0116,100.0%
3,Kevin Durant,TOV,3.5,UNDER,75.9%,A,STRONG BET,76.71,✅ HIT,1.0,UNDER,79.0%,79.73,✅ HIT,UNDER,78.4%,79.16,✅ HIT,UNDER,73.5%,74.23,✅ HIT,UNDER,72.9%,73.69,✅ HIT,-0.13,-0.04,-0.15,-0.1,-0.21,1.4,1.6,0.0276,100.0%
4,Ivica Zubac,REB,6.5,OVER,80.6%,B,STRONG BET,74.25,✅ HIT,8.0,OVER,80.3%,74.0,✅ HIT,OVER,80.0%,73.61,✅ HIT,OVER,81.3%,74.97,✅ HIT,OVER,80.7%,74.4,✅ HIT,-0.84,-0.64,-2.28,-3.3,-1.09,1.8,1.6,0.005,100.0%
5,Alperen Sengun,TOV,3.5,UNDER,73.0%,A,STRONG BET,73.93,NO GAME,,UNDER,74.1%,75.03,NO GAME,UNDER,73.7%,74.56,NO GAME,UNDER,72.4%,73.33,NO GAME,UNDER,71.9%,72.82,NO GAME,-0.12,0.48,-0.5,0.7,-0.87,1.2,0.8,0.0089,100.0%
6,Ivica Zubac,RA,8.5,OVER,79.8%,C,STRONG BET,73.43,✅ HIT,9.0,OVER,81.2%,74.81,✅ HIT,OVER,78.7%,72.32,✅ HIT,OVER,81.2%,74.75,✅ HIT,OVER,78.2%,71.82,✅ HIT,-0.98,-0.7,-1.91,-3.3,-1.31,1.8,1.6,0.0137,100.0%
7,Jrue Holiday,STL,1.5,UNDER,74.2%,A,STRONG BET,73.34,✅ HIT,1.0,UNDER,74.3%,73.43,✅ HIT,UNDER,74.2%,73.33,✅ HIT,UNDER,74.3%,73.37,✅ HIT,UNDER,74.1%,73.23,✅ HIT,-0.84,-1.75,0.23,-0.7,0.36,1.8,2.0,0.0008,100.0%
8,Josh Giddey,TOV,4.5,UNDER,73.9%,A,STRONG BET,73.09,✅ HIT,2.0,UNDER,71.5%,70.69,✅ HIT,UNDER,71.1%,70.29,✅ HIT,UNDER,76.9%,76.01,✅ HIT,UNDER,76.2%,75.39,✅ HIT,-0.8,-0.1,-0.33,-0.1,-0.72,1.2,1.2,0.0262,100.0%
9,RJ Barrett,TOV,2.5,UNDER,73.4%,A,STRONG BET,72.51,✅ HIT,1.0,UNDER,75.9%,75.01,✅ HIT,UNDER,75.4%,74.51,✅ HIT,UNDER,71.4%,70.49,✅ HIT,UNDER,70.9%,70.01,✅ HIT,-1.72,-1.84,1.5,-0.9,0.06,2.0,2.0,0.0227,100.0%
10,Scottie Barnes,BLK,1.5,UNDER,75.4%,S,STRONG BET,72.4,❌ MISS,2.0,UNDER,77.4%,74.35,❌ MISS,UNDER,77.4%,74.34,❌ MISS,UNDER,73.4%,70.39,❌ MISS,UNDER,73.5%,70.52,❌ MISS,0.1,-1.75,-3.0,-0.7,0.74,1.6,2.0,0.0195,100.0%
11,Immanuel Quickley,REB,4.5,UNDER,69.6%,B,STRONG BET,72.14,✅ HIT,4.0,UNDER,70.6%,73.17,✅ HIT,UNDER,69.1%,71.67,✅ HIT,UNDER,70.0%,72.59,✅ HIT,UNDER,68.6%,71.15,✅ HIT,-0.24,-0.66,2.0,-0.9,0.58,1.8,1.6,0.0078,100.0%
