Rank,Player,Stat,Line,Pick,Confidence,Tier,Recommendation,Rank Score,Result,Actual value,FULL_ALL Pick,FULL_ALL Confidence,FULL_ALL Rank score,FULL_ALL Result,FULL_TIGHT Pick,FULL_TIGHT Confidence,FULL_TIGHT Rank score,FULL_TIGHT Result,REDUCED_ALL Pick,REDUCED_ALL Confidence,REDUCED_ALL Rank score,REDUCED_ALL Result,REDUCED_TIGHT Pick,REDUCED_TIGHT Confidence,REDUCED_TIGHT Rank score,REDUCED_TIGHT Result,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio
1,Giannis Antetokounmpo,STL,1.5,UNDER,77.2%,A,STRONG BET,77.83,✅ HIT,0.0,UNDER,76.4%,77.03,✅ HIT,UNDER,76.3%,76.89,✅ HIT,UNDER,78.2%,78.81,✅ HIT,UNDER,78.0%,78.61,✅ HIT,-0.39,-0.07,-0.0,-0.1,-0.43,1.6,1.6,0.0088,100.0%
2,Ivica Zubac,AST,2.5,UNDER,79.8%,C,STRONG BET,75.83,✅ HIT,2.0,UNDER,80.2%,76.28,✅ HIT,UNDER,78.4%,74.49,✅ HIT,UNDER,81.1%,77.13,✅ HIT,UNDER,79.3%,75.4,✅ HIT,-0.61,-1.84,-3.0,-0.9,0.6,1.8,2.0,0.0098,100.0%
3,Quentin Grimes,3PM,2.5,UNDER,74.0%,S,STRONG BET,72.08,✅ HIT,1.0,UNDER,74.3%,72.38,✅ HIT,UNDER,74.2%,72.36,✅ HIT,UNDER,73.8%,71.87,✅ HIT,UNDER,73.6%,71.74,✅ HIT,-0.72,-1.08,-0.96,-1.1,0.37,1.6,1.6,0.0028,100.0%
4,Evan Mobley,FTM,3.5,UNDER,72.0%,B,STRONG BET,71.88,✅ HIT,2.0,UNDER,72.8%,72.71,✅ HIT,UNDER,71.7%,71.53,✅ HIT,UNDER,72.4%,72.26,✅ HIT,UNDER,71.2%,71.03,✅ HIT,-0.39,-0.41,-0.27,-0.7,0.03,1.6,1.6,0.0065,100.0%
5,Giannis Antetokounmpo,3PM,0.5,UNDER,81.6%,S,STRONG BET,71.3,✅ HIT,0.0,UNDER,81.9%,71.63,✅ HIT,UNDER,81.8%,71.54,✅ HIT,UNDER,81.4%,71.13,✅ HIT,UNDER,81.2%,70.89,✅ HIT,-6.0,-6.0,-0.0,-0.5,0.43,1.8,2.0,0.003,100.0%
6,Immanuel Quickley,STL,1.5,UNDER,71.7%,A,STRONG BET,71.11,❌ MISS,3.0,UNDER,72.2%,71.58,❌ MISS,UNDER,72.1%,71.51,❌ MISS,UNDER,71.3%,70.72,❌ MISS,UNDER,71.2%,70.63,❌ MISS,-0.27,-0.1,-1.33,-0.1,-0.18,1.4,1.2,0.0043,100.0%
7,Quentin Grimes,STL,1.5,UNDER,73.6%,A,STRONG BET,70.88,❌ MISS,3.0,UNDER,69.7%,66.98,❌ MISS,UNDER,69.7%,66.96,❌ MISS,UNDER,77.6%,74.88,❌ MISS,UNDER,77.4%,74.69,❌ MISS,-0.95,-0.79,-2.0,-0.5,-0.1,1.6,1.6,0.0391,100.0%
8,Brandin Podziemski,PTS,18.5,UNDER,73.2%,D,STRONG BET,70.83,❌ MISS,25.0,UNDER,74.2%,71.82,❌ MISS,UNDER,73.8%,71.38,❌ MISS,UNDER,72.6%,70.23,❌ MISS,UNDER,72.3%,69.89,❌ MISS,-0.87,-0.05,3.0,-0.3,-5.37,1.2,1.2,0.0079,100.0%
9,Cade Cunningham,FTM,5.5,UNDER,76.6%,B,STRONG BET,70.73,❌ MISS,7.0,UNDER,77.0%,71.08,❌ MISS,UNDER,75.5%,69.57,❌ MISS,UNDER,77.9%,71.98,❌ MISS,UNDER,76.2%,70.28,❌ MISS,-0.63,-5.53,-1.33,-3.5,3.1,2.0,2.0,0.009,100.0%
10,James Harden,REB,5.5,UNDER,69.2%,B,STRONG BET,70.51,✅ HIT,5.0,UNDER,70.8%,72.04,✅ HIT,UNDER,69.3%,70.53,✅ HIT,UNDER,69.2%,70.45,✅ HIT,UNDER,67.8%,69.03,✅ HIT,-0.62,-0.31,1.2,-0.3,-0.31,1.6,1.6,0.0106,100.0%
11,OG Anunoby,SB,2.5,UNDER,69.6%,A,BET,70.34,✅ HIT,0.0,UNDER,71.0%,71.72,✅ HIT,UNDER,70.7%,71.4,✅ HIT,UNDER,68.5%,69.28,✅ HIT,UNDER,68.2%,68.96,✅ HIT,-0.04,-0.17,-0.37,-0.3,0.23,1.4,1.2,0.0123,100.0%
12,RJ Barrett,TOV,2.5,UNDER,72.9%,A,STRONG BET,70.19,❌ MISS,3.0,UNDER,73.1%,70.45,❌ MISS,UNDER,72.7%,70.01,❌ MISS,UNDER,73.1%,70.42,❌ MISS,UNDER,72.6%,69.89,❌ MISS,-1.75,-2.25,0.17,-1.1,0.24,2.0,2.0,0.0025,100.0%
13,Brandin Podziemski,FGA,16.5,UNDER,77.9%,D,STRONG BET,69.98,✅ HIT,15.0,UNDER,79.5%,71.65,✅ HIT,UNDER,75.9%,67.97,✅ HIT,UNDER,79.5%,71.6,✅ HIT,UNDER,76.6%,68.71,✅ HIT,-1.5,-0.6,-0.57,-2.5,-3.73,1.0,0.8,0.0166,100.0%
14,Myles Turner,SB,2.5,UNDER,71.4%,A,STRONG BET,69.95,✅ HIT,2.0,UNDER,69.7%,68.23,✅ HIT,UNDER,69.4%,67.95,✅ HIT,UNDER,73.5%,72.05,✅ HIT,UNDER,73.0%,71.56,✅ HIT,-0.43,-2.37,0.06,-1.5,1.23,1.6,2.0,0.0187,100.0%
15,Brandin Podziemski,3PA,7.5,UNDER,73.2%,B,STRONG BET,69.6,✅ HIT,7.0,UNDER,73.7%,70.19,✅ HIT,UNDER,72.6%,69.02,✅ HIT,UNDER,73.6%,70.02,✅ HIT,UNDER,72.7%,69.16,✅ HIT,-1.14,0.04,-1.0,0.1,-2.75,1.2,0.8,0.0052,100.0%
16,Donte DiVincenzo,STL,1.5,UNDER,70.0%,A,STRONG BET,69.39,✅ HIT,0.0,UNDER,68.5%,67.9,✅ HIT,UNDER,68.5%,67.9,✅ HIT,UNDER,71.6%,70.93,✅ HIT,UNDER,71.5%,70.83,✅ HIT,-0.28,-0.75,-0.71,-0.3,0.19,1.2,1.6,0.0149,100.0%
17,Quentin Grimes,3PA,7.5,UNDER,73.8%,B,STRONG BET,69.3,✅ HIT,4.0,UNDER,75.9%,71.39,✅ HIT,UNDER,74.6%,70.1,✅ HIT,UNDER,72.8%,68.26,✅ HIT,UNDER,71.9%,67.44,✅ HIT,-1.33,-0.44,-2.0,-0.7,-1.42,1.4,0.8,0.0155,100.0%
18,Chet Holmgren,3PM,1.5,UNDER,68.0%,S,BET,69.1,✅ HIT,1.0,UNDER,66.2%,67.36,✅ HIT,UNDER,66.3%,67.43,✅ HIT,UNDER,69.7%,70.82,✅ HIT,UNDER,69.7%,70.76,✅ HIT,-0.1,0.14,-0.3,0.3,-0.52,1.6,1.6,0.017,100.0%
19,VJ Edgecombe,TOV,2.5,UNDER,67.4%,A,BET,69.04,✅ HIT,1.0,UNDER,65.5%,67.12,✅ HIT,UNDER,65.3%,66.9,✅ HIT,UNDER,69.7%,71.28,✅ HIT,UNDER,69.2%,70.85,✅ HIT,-0.59,-0.1,1.5,-0.1,-0.5,1.4,1.2,0.0203,100.0%
20,Brandin Podziemski,TOV,2.5,UNDER,70.6%,A,STRONG BET,68.57,❌ MISS,4.0,UNDER,71.5%,69.42,❌ MISS,UNDER,71.1%,69.02,❌ MISS,UNDER,70.2%,68.14,❌ MISS,UNDER,69.8%,67.7,❌ MISS,-0.95,-1.08,-0.25,-1.1,0.13,1.2,1.6,0.0068,100.0%
21,Anthony Edwards,STL,1.5,UNDER,68.5%,A,BET,68.43,✅ HIT,1.0,UNDER,69.0%,68.94,✅ HIT,UNDER,69.0%,68.94,✅ HIT,UNDER,68.0%,67.94,✅ HIT,UNDER,68.0%,67.91,✅ HIT,-0.24,-0.75,-0.19,-0.3,0.2,1.2,1.6,0.0051,100.0%
22,Brandin Podziemski,FTM,2.5,UNDER,71.3%,B,STRONG BET,68.26,❌ MISS,7.0,UNDER,72.2%,69.15,❌ MISS,UNDER,71.0%,68.04,❌ MISS,UNDER,71.5%,68.49,❌ MISS,UNDER,70.4%,67.35,❌ MISS,-0.54,-0.4,-3.0,-0.5,-0.18,1.6,1.6,0.0066,100.0%
23,VJ Edgecombe,FGA,16.5,UNDER,72.6%,D,STRONG BET,68.11,❌ MISS,18.0,UNDER,72.1%,67.59,❌ MISS,UNDER,69.1%,64.68,❌ MISS,UNDER,75.9%,71.4,❌ MISS,UNDER,73.2%,68.77,❌ MISS,-0.83,-0.54,-1.5,-2.1,-1.1,1.6,1.6,0.0242,100.0%
24,Jaden McDaniels,3PM,1.5,UNDER,67.8%,S,BET,67.93,✅ HIT,0.0,UNDER,66.5%,66.65,✅ HIT,UNDER,66.5%,66.72,✅ HIT,UNDER,69.0%,69.21,✅ HIT,UNDER,69.0%,69.16,✅ HIT,-0.17,-1.84,0.46,-0.9,0.82,1.8,2.0,0.0126,100.0%
25,Andrew Nembhard,AST,7.5,UNDER,68.3%,C,STRONG BET,67.69,NO GAME,,UNDER,68.0%,67.43,NO GAME,UNDER,66.9%,66.34,NO GAME,UNDER,69.6%,69.04,NO GAME,UNDER,68.5%,67.94,NO GAME,-0.1,-0.52,-0.92,-1.3,1.05,1.2,1.2,0.0097,100.0%
26,Shai Gilgeous-Alexander,FGA,21.5,UNDER,70.3%,D,STRONG BET,67.66,❌ MISS,22.0,UNDER,70.9%,68.28,❌ MISS,UNDER,68.1%,65.52,❌ MISS,UNDER,72.2%,69.57,❌ MISS,UNDER,69.9%,67.28,❌ MISS,-0.79,-1.53,0.14,-3.5,1.69,1.4,2.0,0.0148,100.0%
27,Anthony Edwards,AST,4.5,UNDER,68.3%,C,STRONG BET,66.88,❌ MISS,5.0,UNDER,70.3%,68.81,❌ MISS,UNDER,69.0%,67.56,❌ MISS,UNDER,67.5%,66.04,❌ MISS,UNDER,66.6%,65.11,❌ MISS,-0.68,-0.6,-0.58,-0.7,-0.1,1.2,1.2,0.0142,100.0%
28,Anthony Edwards,3PM,3.5,UNDER,65.6%,S,BET,66.45,✅ HIT,2.0,UNDER,67.1%,68.0,✅ HIT,UNDER,67.2%,68.06,✅ HIT,UNDER,64.0%,64.85,✅ HIT,UNDER,64.0%,64.9,✅ HIT,-0.02,0.07,-0.17,0.1,-0.13,1.0,0.8,0.0157,100.0%
29,Russell Westbrook,3PA,6.5,UNDER,68.8%,B,STRONG BET,66.31,NO GAME,,UNDER,70.9%,68.43,NO GAME,UNDER,69.9%,67.42,NO GAME,UNDER,67.4%,64.95,NO GAME,UNDER,66.9%,64.43,NO GAME,-0.4,-0.53,-2.22,-0.7,0.17,1.2,1.6,0.0167,100.0%
30,VJ Edgecombe,3PA,6.5,UNDER,67.8%,B,STRONG BET,66.19,✅ HIT,5.0,UNDER,69.1%,67.44,✅ HIT,UNDER,68.2%,66.56,✅ HIT,UNDER,67.2%,65.62,✅ HIT,UNDER,66.7%,65.11,✅ HIT,-0.27,-0.42,-1.5,-1.3,0.47,1.4,1.6,0.0089,100.0%
31,Jerami Grant,AST,1.5,OVER,67.8%,C,STRONG BET,66.09,❌ MISS,1.0,OVER,69.0%,67.32,❌ MISS,OVER,67.0%,65.25,❌ MISS,OVER,68.7%,66.97,❌ MISS,OVER,66.5%,64.83,❌ MISS,-0.52,-0.35,-1.5,-0.5,-0.24,1.4,1.2,0.0107,100.0%
32,Julius Randle,3PM,1.5,UNDER,66.0%,S,BET,66.08,❌ MISS,3.0,UNDER,66.3%,66.34,❌ MISS,UNDER,66.3%,66.41,❌ MISS,UNDER,65.7%,65.79,❌ MISS,UNDER,65.8%,65.81,❌ MISS,-0.26,-2.25,0.69,-1.1,0.97,2.0,2.0,0.0029,100.0%
33,Evan Mobley,3PM,1.5,UNDER,64.5%,S,BET WITH CAUTION,66.03,✅ HIT,0.0,UNDER,64.9%,66.42,✅ HIT,UNDER,65.0%,66.51,✅ HIT,UNDER,64.0%,65.56,✅ HIT,UNDER,64.1%,65.61,✅ HIT,-0.35,-0.31,1.33,-0.3,-0.05,1.2,0.8,0.0044,100.0%
34,Deni Avdija,FTM,6.5,UNDER,65.0%,B,STRONG BET,66.0,❌ MISS,9.0,UNDER,66.8%,67.78,❌ MISS,UNDER,66.2%,67.19,❌ MISS,UNDER,63.7%,64.67,❌ MISS,UNDER,63.4%,64.37,❌ MISS,0.33,-1.41,-0.43,-2.9,3.58,1.8,2.0,0.015,100.0%
35,Giannis Antetokounmpo,FGA,19.5,UNDER,68.5%,D,DO NOT BET,65.73,❌ MISS,22.0,UNDER,69.2%,66.39,❌ MISS,UNDER,66.6%,63.87,❌ MISS,UNDER,70.1%,67.37,❌ MISS,UNDER,68.1%,65.3,❌ MISS,-0.87,-0.49,-0.17,-1.7,-1.34,1.8,1.6,0.013,100.0%
36,Brandin Podziemski,PA,23.5,UNDER,74.2%,D,STRONG BET,65.73,❌ MISS,31.0,UNDER,75.8%,67.3,❌ MISS,UNDER,75.6%,67.14,❌ MISS,UNDER,72.9%,64.39,❌ MISS,UNDER,72.6%,64.08,❌ MISS,-1.53,-0.29,-0.75,-1.3,-5.62,1.0,1.2,0.015,100.0%
37,Jalen Brunson,FTM,5.5,UNDER,63.7%,B,BET,65.64,❌ MISS,10.0,UNDER,63.6%,65.59,❌ MISS,UNDER,63.4%,65.33,❌ MISS,UNDER,64.0%,65.98,❌ MISS,UNDER,63.7%,65.65,❌ MISS,-0.2,-0.1,1.5,-0.3,-0.33,1.4,1.2,0.0023,100.0%
38,Russell Westbrook,3PM,2.5,UNDER,67.9%,S,BET,65.54,NO GAME,,UNDER,68.8%,66.4,NO GAME,UNDER,68.8%,66.44,NO GAME,UNDER,67.0%,64.66,NO GAME,UNDER,67.0%,64.65,NO GAME,-0.95,-0.2,-2.12,-0.1,-0.37,1.4,1.2,0.0089,100.0%
39,Cade Cunningham,SB,2.5,UNDER,65.0%,A,BET,65.27,✅ HIT,2.0,UNDER,61.7%,61.89,✅ HIT,UNDER,61.7%,61.92,✅ HIT,UNDER,68.5%,68.79,✅ HIT,UNDER,68.2%,68.47,✅ HIT,-0.11,-0.81,0.1,-1.1,0.96,1.2,1.2,0.0336,100.0%
40,Josh Hart,3PM,0.5,OVER,61.6%,S,BET WITH CAUTION,65.1,✅ HIT,1.0,OVER,62.4%,65.85,✅ HIT,OVER,62.0%,65.47,✅ HIT,OVER,61.3%,64.83,✅ HIT,OVER,60.8%,64.28,✅ HIT,-1.16,-0.12,4.5,-0.1,-0.83,1.2,0.8,0.006,100.0%
41,Cooper Flagg,3PM,0.5,OVER,67.0%,S,BET,65.08,✅ HIT,1.0,OVER,67.2%,65.32,✅ HIT,OVER,66.8%,64.91,✅ HIT,OVER,67.2%,65.36,✅ HIT,OVER,66.6%,64.74,✅ HIT,-1.06,-0.2,-1.5,-0.1,-0.42,1.4,1.2,0.0026,100.0%
42,OG Anunoby,3PM,2.5,UNDER,64.3%,S,BET WITH CAUTION,64.99,✅ HIT,2.0,UNDER,64.6%,65.31,✅ HIT,UNDER,64.7%,65.4,✅ HIT,UNDER,63.9%,64.59,✅ HIT,UNDER,64.0%,64.65,✅ HIT,-0.2,0.3,-0.1,0.5,-0.83,1.0,0.8,0.0037,100.0%
43,Jerami Grant,3PM,2.5,UNDER,62.6%,S,BET WITH CAUTION,64.92,❌ MISS,6.0,UNDER,60.2%,62.52,❌ MISS,UNDER,60.4%,62.67,❌ MISS,UNDER,65.0%,67.23,❌ MISS,UNDER,65.0%,67.26,❌ MISS,-0.25,0.4,1.5,0.3,-0.49,0.8,0.8,0.0233,100.0%
44,VJ Edgecombe,SB,2.5,UNDER,65.6%,A,BET,64.23,✅ HIT,2.0,UNDER,63.8%,62.41,✅ HIT,UNDER,63.7%,62.35,✅ HIT,UNDER,67.6%,66.22,✅ HIT,UNDER,67.3%,65.94,✅ HIT,-1.17,0.75,-1.5,0.3,-0.77,1.0,0.4,0.0185,100.0%
45,Evan Mobley,REB,9.5,UNDER,64.5%,B,DO NOT BET,64.17,❌ MISS,11.0,UNDER,64.8%,64.57,❌ MISS,UNDER,63.5%,63.18,❌ MISS,UNDER,65.4%,65.13,❌ MISS,UNDER,64.1%,63.8,❌ MISS,-0.31,-0.49,-0.07,-1.3,0.49,1.4,1.6,0.0074,100.0%
46,Karl-Anthony Towns,3PM,1.5,UNDER,61.5%,S,BET WITH CAUTION,64.16,✅ HIT,0.0,UNDER,63.4%,66.09,✅ HIT,UNDER,63.5%,66.19,✅ HIT,UNDER,59.5%,62.12,✅ HIT,UNDER,59.6%,62.27,✅ HIT,0.07,0.08,1.0,0.1,-0.01,1.4,1.2,0.0198,100.0%
47,Russell Westbrook,STL,1.5,UNDER,61.4%,A,BET WITH CAUTION,64.14,NO GAME,,UNDER,58.8%,61.6,NO GAME,UNDER,59.0%,61.8,NO GAME,UNDER,63.8%,66.55,NO GAME,UNDER,63.8%,66.61,NO GAME,-0.11,0.44,1.22,0.7,-0.88,1.4,0.8,0.0244,100.0%
48,Anthony Edwards,REB,5.5,UNDER,63.2%,B,DO NOT BET,64.1,❌ MISS,6.0,UNDER,64.3%,65.14,❌ MISS,UNDER,62.9%,63.77,❌ MISS,UNDER,63.5%,64.38,❌ MISS,UNDER,62.2%,63.11,❌ MISS,-0.19,-0.76,0.84,-1.7,1.29,1.4,1.6,0.0075,100.0%
49,Cade Cunningham,FGA,19.5,UNDER,64.6%,D,DO NOT BET,64.04,❌ MISS,24.0,UNDER,65.6%,64.99,❌ MISS,UNDER,63.6%,62.99,❌ MISS,UNDER,65.4%,64.84,❌ MISS,UNDER,63.9%,63.33,❌ MISS,-0.06,-0.75,-0.57,-5.3,4.88,1.2,1.6,0.0088,100.0%
50,Jerami Grant,PRA,23.5,OVER,62.3%,D,DO NOT BET,63.97,❌ MISS,23.0,OVER,64.4%,66.04,❌ MISS,OVER,64.2%,65.85,❌ MISS,OVER,60.2%,61.85,❌ MISS,OVER,60.4%,62.13,❌ MISS,-0.1,-0.33,1.5,-3.3,2.31,1.6,1.6,0.0198,100.0%
51,Anthony Edwards,FGA,20.5,UNDER,65.5%,D,DO NOT BET,63.85,✅ HIT,17.0,UNDER,67.6%,65.93,✅ HIT,UNDER,65.3%,63.64,✅ HIT,UNDER,65.3%,63.65,✅ HIT,UNDER,63.8%,62.16,✅ HIT,0.02,-1.12,-1.79,-3.7,3.76,1.2,1.6,0.0135,100.0%
52,Giannis Antetokounmpo,TOV,3.5,UNDER,63.5%,A,BET WITH CAUTION,63.83,✅ HIT,1.0,UNDER,68.1%,68.37,✅ HIT,UNDER,67.8%,68.06,✅ HIT,UNDER,59.2%,59.48,✅ HIT,UNDER,59.1%,59.43,✅ HIT,-0.32,-0.94,0.39,-0.7,0.46,1.4,1.6,0.0438,100.0%
53,Cade Cunningham,3PM,1.5,OVER,64.6%,S,BET WITH CAUTION,63.67,✅ HIT,2.0,OVER,63.4%,62.46,✅ HIT,OVER,63.1%,62.07,✅ HIT,OVER,66.3%,65.37,✅ HIT,OVER,65.7%,64.75,✅ HIT,-0.27,-0.83,-0.73,-1.7,1.15,1.4,1.6,0.0142,100.0%
54,RJ Barrett,3PA,5.5,UNDER,63.5%,B,BET,63.6,✅ HIT,4.0,UNDER,64.4%,64.52,✅ HIT,UNDER,63.9%,63.98,✅ HIT,UNDER,63.0%,63.07,✅ HIT,UNDER,62.7%,62.83,✅ HIT,-0.49,0.1,-0.0,0.1,-0.6,1.0,0.8,0.0069,100.0%
