Rank,Player,Stat,Line,Pick,Confidence,Tier,Recommendation,Rank Score,Result,Actual value,FULL_ALL Pick,FULL_ALL Confidence,FULL_ALL Rank score,FULL_ALL Result,FULL_TIGHT Pick,FULL_TIGHT Confidence,FULL_TIGHT Rank score,FULL_TIGHT Result,REDUCED_ALL Pick,REDUCED_ALL Confidence,REDUCED_ALL Rank score,REDUCED_ALL Result,REDUCED_TIGHT Pick,REDUCED_TIGHT Confidence,REDUCED_TIGHT Rank score,REDUCED_TIGHT Result,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio
398,Dyson Daniels,REB,6.5,OVER,51.3%,B,DO NOT BET,51.26,,,OVER,51.1%,51.07,,OVER,51.9%,51.88,,OVER,50.7%,50.69,,OVER,51.4%,51.39,,-0.08,-0.88,-0.52,-1.3,1.18,1.6,1.6,0.0044,100.0%
399,LeBron James,PTS,18.5,OVER,53.7%,D,DO NOT BET,51.25,,,OVER,54.0%,51.53,,OVER,53.4%,50.98,,OVER,54.1%,51.6,,OVER,53.4%,50.9,,-0.94,-0.24,0.48,-0.7,-2.06,1.0,0.8,0.0031,100.0%
400,Dyson Daniels,RA,12.5,OVER,50.4%,C,DO NOT BET,51.2,,,OVER,50.9%,51.65,,OVER,51.0%,51.74,,UNDER,50.1%,51.29,,UNDER,50.0%,51.28,,-0.13,-0.46,0.2,-0.9,0.65,1.4,1.6,0.0049,50.0%
401,Deni Avdija,REB,5.5,OVER,51.6%,B,DO NOT BET,51.17,,,OVER,52.8%,52.4,,OVER,53.6%,53.14,,UNDER,50.3%,52.8,,OVER,50.4%,49.95,,-0.63,0.58,0.0,1.3,-2.7,1.0,0.8,0.0164,75.0%
402,Jalen Johnson,RA,16.5,OVER,50.2%,C,DO NOT BET,51.17,,,OVER,53.4%,54.39,,OVER,53.2%,54.2,,UNDER,53.1%,54.16,,UNDER,52.7%,53.77,,-0.68,-0.25,3.0,-0.7,-1.2,0.8,1.2,0.0313,50.0%
403,Paolo Banchero,RA,13.5,UNDER,50.1%,C,DO NOT BET,51.16,,,OVER,50.3%,51.27,,OVER,50.4%,51.42,,UNDER,50.7%,51.7,,UNDER,50.6%,51.61,,0.03,0.21,0.06,0.7,-0.59,0.6,0.4,0.005,50.0%
404,Kristaps Porziņģis,REB,4.5,OVER,50.4%,B,DO NOT BET,51.16,,,UNDER,50.8%,51.98,,OVER,50.1%,50.92,,OVER,50.7%,51.51,,OVER,51.4%,52.21,,-0.23,0.81,-0.08,1.1,-1.41,0.6,0.4,0.008,75.0%
405,Jalen Suggs,TOV,2.5,OVER,50.7%,A,DO NOT BET,51.1,,,UNDER,54.5%,56.11,,UNDER,54.7%,56.26,,OVER,56.2%,56.67,,OVER,55.7%,56.12,,-0.04,-0.23,-0.25,-0.3,0.24,1.0,1.2,0.053,50.0%
406,Draymond Green,PRA,21.5,UNDER,52.9%,D,DO NOT BET,50.97,,,UNDER,56.2%,54.24,,UNDER,55.9%,53.95,,OVER,50.0%,54.01,,OVER,50.4%,54.33,,-0.45,-0.24,-0.18,-1.1,-0.99,1.0,0.8,0.0314,50.0%
407,Jalen Green,FGA,18.5,UNDER,52.6%,D,DO NOT BET,50.79,,,UNDER,53.6%,51.77,,UNDER,53.6%,51.79,,UNDER,51.4%,49.58,,UNDER,51.8%,50.01,,-0.88,0.81,-0.27,2.3,-4.8,1.0,0.4,0.01,100.0%
