Rank,Player,Stat,Line,Pick,Platform,Goblin/Demon,Multiplier,Confidence,Rank Score,Result,Actual Value,Avg Edge Side,Avg Same Line Market Prob Side,Avg All Books Market Prob Side,Same Line Books,All Books,Edge,Model Alpha,Agreement,Signals,Market Consensus Line,Market Consensus Prob,Best Over Odds,Best Over Book,Best Under Odds,Best Under Book,DFS vs Market,FanDuel line,FanDuel line_delta,FanDuel over_no_vig_prob,FanDuel under_no_vig_prob,FanDuel edge,DraftKings line,DraftKings line_delta,DraftKings over_no_vig_prob,DraftKings under_no_vig_prob,DraftKings edge,BetRivers line,BetRivers line_delta,BetRivers over_no_vig_prob,BetRivers under_no_vig_prob,BetRivers edge,BetOnline line,BetOnline line_delta,BetOnline over_no_vig_prob,BetOnline under_no_vig_prob,BetOnline edge,Bovada line,Bovada line_delta,Bovada over_no_vig_prob,Bovada under_no_vig_prob,Bovada edge,BetMGM line,BetMGM line_delta,BetMGM over_no_vig_prob,BetMGM under_no_vig_prob,BetMGM edge,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio
174,Ausar Thompson,AST,2.5,OVER,PrizePicks,Goblin,,55.4%,17.9,,,0.0662,0.5938,0.6062,1,6,0.0538,-0.0396,1.0,3.0272,3.5,43.6%,140,Bovada,131,DraftKings,FAVORABLE,3.5,1.0,61.5%,38.6%,0.0142,2.5,0.0,59.4%,40.6%,0.0142,3.5,1.0,61.1%,38.9%,0.0142,3.5,1.0,61.3%,38.7%,0.0142,3.5,1.0,59.5%,40.5%,0.0142,3.5,1.0,61.0%,39.0%,0.0142,-0.25,-0.3,1.0,-0.5,0.08,1.4,1.6,0.0109,100.0%
175,Miles Bridges,FGA,11.5,OVER,PrizePicks,,,62.6%,17.76,,,0.0,,,0,0,,0.0864,1.0,-1.1766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.67,0.25,-0.58,0.9,-3.28,1.4,0.8,0.0139,100.0%
176,VJ Edgecombe,AST,3.5,OVER,Underdog and PrizePicks,,,65.6%,17.73,,,-0.0398,0.5042,0.5002,5,6,-0.0358,0.1515,1.0,1.6836,3.5,47.2%,200,Bovada,100,BetMGM,NEUTRAL,3.5,0.0,50.5%,49.5%,0.1157,3.5,0.0,49.2%,50.8%,0.1157,3.5,0.0,47.9%,52.1%,0.1157,3.5,0.0,51.1%,48.9%,0.1157,4.5,1.0,48.0%,52.0%,0.1157,3.5,0.0,53.5%,46.5%,0.1157,-0.2,-0.85,-0.14,-2.3,1.77,1.4,2.0,0.0219,100.0%
177,Jalen Green,PRA,28.0,OVER,PrizePicks,,,62.4%,17.61,,,-0.0238,,0.5162,0,6,-0.0238,0.1077,1.0,6.8261,27.5,50.9%,105,Bovada,104,BetRivers,NEUTRAL,27.5,-0.5,50.3%,49.7%,0.0839,27.5,-0.5,50.2%,49.8%,0.0839,27.5,-0.5,52.3%,47.7%,0.0839,27.5,-0.5,49.5%,50.5%,0.0839,29.5,1.5,52.2%,47.8%,0.0839,29.5,1.5,55.2%,44.8%,0.0839,0.59,0.13,-1.01,0.8,2.92,1.8,1.6,0.0234,100.0%
178,De'Aaron Fox,3PA,4.5,OVER,Underdog and PrizePicks,,,62.5%,17.55,,,0.0,,,0,0,,0.0854,1.0,-1.4928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.09,-0.2,-0.37,-0.1,-0.92,1.0,1.2,0.0103,100.0%
179,Karl-Anthony Towns,PA,19.5,OVER,PrizePicks,,,66.4%,17.47,,,-0.0347,0.5053,0.5053,1,1,-0.0347,0.1586,1.0,-2.4178,19.5,50.5%,-118,FanDuel,-112,FanDuel,NEUTRAL,19.5,0.0,50.5%,49.5%,0.1239,,,,,,,,,,,,,,,,,,,,,,,,,,-0.71,-0.81,-0.46,-3.9,0.46,1.4,1.6,0.0023,100.0%
180,Jalen Green,TOV,2.5,UNDER,Underdog,,0.87x,62.7%,17.37,,,0.0,,,0,0,,0.0866,1.0,-0.8211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.47,-0.79,-1.86,-0.5,0.2,1.0,1.6,0.0374,100.0%
181,Paul George,SB,1.5,OVER,PrizePicks,Goblin,,62.1%,17.36,,,0.0,,,0,0,,0.0809,1.0,-0.7304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.45,-1.19,-2.12,-1.5,0.93,1.6,2.0,0.0078,100.0%
182,Coby White,RA,6.0,OVER,PrizePicks,,,66.7%,17.32,,,-0.0335,,0.5065,0,3,-0.0335,0.1607,1.0,-3.5624,6.5,40.8%,185,Bovada,-145,FanDuel,NEUTRAL,6.5,0.5,50.8%,49.2%,0.1272,6.5,0.5,50.7%,49.3%,0.1272,,,,,,,,,,,7.5,1.5,50.4%,49.6%,0.1272,,,,,,-0.52,-0.55,-2.21,-2.0,0.12,0.8,0.8,0.0114,100.0%
183,Coby White,3PA,5.5,OVER,Underdog and PrizePicks,,,61.9%,17.21,,,0.0,,,0,0,,0.0793,1.0,-0.3931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6,-0.67,-0.15,-1.3,0.13,1.0,1.2,0.0118,100.0%
184,Tyrese Maxey,RA,10.5,UNDER,Underdog,,0.86x,59.1%,17.2,,,0.0169,0.5542,0.5569,3,4,0.0142,0.0364,1.0,3.3518,10.5,53.0%,115,Bovada,105,DraftKings,NEUTRAL,10.5,0.0,44.8%,55.2%,0.0506,9.5,-1.0,43.5%,56.5%,0.0506,,,,,,,,,,,10.5,0.0,43.7%,56.3%,0.0506,10.5,0.0,45.2%,54.8%,0.0506,0.1,-0.25,0.21,-0.7,0.99,1.4,1.6,0.0117,100.0%
185,Jalen Brunson,PR,26.5,OVER,PrizePicks,,,64.6%,17.13,,,-0.0253,0.5147,0.5147,1,1,-0.0253,0.1312,1.0,-0.8747,26.5,51.5%,-122,FanDuel,-108,FanDuel,NEUTRAL,26.5,0.0,51.5%,48.5%,0.1059,,,,,,,,,,,,,,,,,,,,,,,,,,-0.71,-0.21,0.5,-0.9,-2.16,1.4,1.2,0.0023,100.0%
186,Joel Embiid,RA,10.5,OVER,PrizePicks,Goblin,,62.5%,17.07,,,0.0178,0.5319,0.5578,1,4,-0.0081,0.0933,1.0,0.3374,11.5,46.9%,115,Bovada,100,DraftKings,FAVORABLE,11.5,1.0,57.1%,42.9%,0.0852,10.5,0.0,53.2%,46.8%,0.0852,,,,,,,,,,,11.5,1.0,55.5%,44.5%,0.0852,11.5,1.0,57.3%,42.7%,0.0852,-0.73,-1.77,0.06,-2.5,1.47,1.8,2.0,0.0163,100.0%
187,Coby White,FGA,11.5,OVER,PrizePicks,,,62.0%,16.92,,,0.0,,,0,0,,0.0799,1.0,-0.9288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.04,-0.98,-0.13,-1.3,-0.08,1.0,1.6,0.0162,100.0%
188,Julius Randle,TOV,3.5,UNDER,Underdog,,1.04x,61.7%,16.86,,,0.0,,,0,0,,0.0772,1.0,-0.3443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.54,0.35,-1.0,0.5,-1.26,0.8,0.8,0.0149,100.0%
189,Rudy Gobert,FTM,2.5,UNDER,Underdog,,1.03x,61.3%,16.78,,,0.0,,,0,0,,0.0726,1.0,0.4864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.23,-0.2,-0.33,-0.3,-0.04,0.8,0.8,0.0093,100.0%
190,LaMelo Ball,AST,7.5,UNDER,Underdog,,0.87x,58.1%,16.72,,,0.0263,0.5669,0.5663,4,6,0.0269,0.0139,1.0,3.1155,7.5,56.5%,200,Bovada,114,BetRivers,NEUTRAL,7.5,0.0,42.8%,57.2%,0.0409,7.5,0.0,43.7%,56.3%,0.0409,6.5,-1.0,42.4%,57.6%,0.0409,7.5,0.0,43.3%,56.7%,0.0409,8.5,1.0,44.6%,55.4%,0.0409,7.5,0.0,43.4%,56.6%,0.0409,-0.13,-0.09,0.96,-0.3,-0.12,1.6,1.2,0.0484,100.0%
191,Josh Giddey,PA,30.5,UNDER,PrizePicks,,,66.9%,16.7,,,-0.04,0.5,0.5,1,1,-0.04,0.1692,1.0,-3.5087,30.5,50.0%,-115,BetMGM,-115,BetMGM,NEUTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,30.5,0.0,50.0%,50.0%,0.1292,-0.46,-0.79,-1.33,-6.7,2.77,1.4,1.6,0.0093,100.0%
192,Joel Embiid,TOV,2.5,OVER,Underdog and PrizePicks,Goblin,0.85x,62.0%,16.53,,,0.0,,,0,0,,0.0804,1.0,-2.3003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.63,-0.4,-3.0,-0.3,-0.17,1.0,1.2,0.0072,100.0%
193,Victor Wembanyama,FTM,5.5,UNDER,Underdog,,0.83x,60.7%,16.45,,,0.0,,,0,0,,0.0673,1.0,2.2545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,-0.29,-0.57,-1.1,1.19,1.4,1.6,0.028,100.0%
194,VJ Edgecombe,REB,5.5,UNDER,Underdog,,0.84x,58.0%,16.37,,,0.0107,0.5532,0.5507,5,6,0.0132,0.0268,1.0,5.1133,5.5,57.6%,200,Bovada,-135,BetMGM,NEUTRAL,5.5,0.0,44.4%,55.6%,0.0399,5.5,0.0,44.3%,55.7%,0.0399,5.5,0.0,43.4%,56.6%,0.0399,5.5,0.0,44.7%,55.3%,0.0399,6.5,1.0,46.2%,53.8%,0.0399,5.5,0.0,46.5%,53.5%,0.0399,0.06,0.46,3.0,1.5,-1.3,1.0,0.4,0.0141,100.0%
195,Dyson Daniels,SB,1.5,OVER,PrizePicks,Goblin,,62.0%,16.29,,,0.0,,,0,0,,0.08,1.0,-0.4897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.15,-1.74,-0.75,-1.3,0.44,2.0,2.0,0.0508,100.0%
196,Tyrese Maxey,3PM,2.5,OVER,Underdog,,0.78x,60.2%,16.26,,,0.0201,0.55,0.5601,5,6,0.01,0.0517,1.0,-0.1664,2.5,51.9%,160,Bovada,114,DraftKings,NEUTRAL,2.5,0.0,54.6%,45.4%,0.0617,2.5,0.0,56.2%,43.8%,0.0617,2.5,0.0,55.9%,44.1%,0.0617,2.5,0.0,54.9%,45.1%,0.0617,3.5,1.0,61.0%,39.0%,0.0617,2.5,0.0,53.5%,46.5%,0.0617,-0.7,-0.6,-0.46,-0.7,-0.11,1.2,1.2,0.0159,100.0%
197,Victor Wembanyama,PRA,39.5,UNDER,Underdog and PrizePicks,,,65.4%,16.17,,,-0.0365,0.496,0.5035,2,6,-0.044,0.1583,1.0,0.4919,39.0,49.6%,115,Bovada,105,BetRivers,NEUTRAL,39.5,0.0,50.0%,50.0%,0.1143,39.5,0.0,50.8%,49.2%,0.1143,38.5,-1.0,50.4%,49.6%,0.1143,38.5,-1.0,48.7%,51.3%,0.1143,41.5,2.0,52.3%,47.7%,0.1143,38.5,-1.0,45.7%,54.3%,0.1143,-0.16,-0.16,-0.5,-1.1,0.01,1.2,1.2,0.0033,100.0%
198,Jalen Brunson,PTS,23.5,OVER,PrizePicks,,,62.3%,15.92,,,-0.0117,,0.5283,0,1,-0.0117,0.0943,1.0,-0.7045,24.5,47.6%,-104,FanDuel,-128,FanDuel,FAVORABLE,24.5,1.0,52.8%,47.2%,0.0826,,,,,,,,,,,,,,,,,,,,,,,,,,-0.51,-0.4,0.31,-2.1,-0.61,1.4,1.2,0.0053,100.0%
199,Tyrese Maxey,AST,5.5,OVER,PrizePicks,Goblin,,57.2%,15.89,,,0.0683,0.5766,0.6083,1,6,0.0366,-0.0042,1.0,-0.1942,6.5,47.0%,180,Bovada,122,BetOnline.ag,FAVORABLE,6.5,1.0,62.8%,37.2%,0.0324,6.5,1.0,61.0%,39.0%,0.0324,6.5,1.0,60.6%,39.4%,0.0324,5.5,0.0,57.7%,42.3%,0.0324,7.5,2.0,61.0%,39.0%,0.0324,6.5,1.0,61.9%,38.1%,0.0324,-0.4,-0.17,-0.85,-0.5,-0.67,1.2,1.2,0.0257,100.0%
200,DeMar DeRozan,REB,2.5,OVER,Underdog and PrizePicks,,,63.9%,15.7,,,-0.0345,0.5055,0.5055,6,6,-0.0345,0.1337,1.0,1.1087,2.5,50.5%,-110,Bovada,105,BetMGM,NEUTRAL,2.5,0.0,50.0%,50.0%,0.0993,2.5,0.0,49.3%,50.7%,0.0993,2.5,0.0,50.0%,50.0%,0.0993,2.5,0.0,50.5%,49.5%,0.0993,2.5,0.0,48.9%,51.1%,0.0993,2.5,0.0,54.5%,45.5%,0.0993,-0.23,-0.14,-0.42,-0.3,-0.2,1.2,1.2,0.007,100.0%
201,VJ Edgecombe,STL,1.5,UNDER,Underdog,,0.75x,60.2%,15.57,,,0.0,,,0,0,,0.0619,1.0,2.2639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12,-0.79,0.25,-0.5,0.42,1.4,1.6,0.0332,100.0%
202,CJ McCollum,3PA,7.5,UNDER,Underdog,,0.89x,59.7%,15.56,,,0.0,,,0,0,,0.0572,1.0,2.4029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24,-0.03,0.81,-0.1,-0.63,1.4,1.2,0.0103,100.0%
203,Jalen Duren,FTA,6.5,UNDER,PrizePicks,,,60.8%,15.25,,,0.0,,,0,0,,0.0676,1.0,-1.1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.27,2.29,-3.0,3.1,-3.47,0.2,0.0,0.0091,100.0%
204,Josh Giddey,PRA,40.5,UNDER,PrizePicks,,,65.9%,15.22,,,-0.023,0.508,0.5171,1,2,-0.032,0.1509,1.0,-5.1569,41.0,53.5%,115,Bovada,-118,BetMGM,NEUTRAL,,,,,,,,,,,,,,,,,,,,,41.5,1.0,47.4%,52.6%,0.1189,40.5,0.0,49.2%,50.8%,0.1189,-0.51,-0.99,-0.62,-10.9,5.26,1.0,1.6,0.0258,100.0%
205,Tyrese Maxey,PR,27.5,OVER,Underdog and PrizePicks,,,65.4%,15.21,,,-0.0239,0.5111,0.5161,3,4,-0.0289,0.1432,1.0,-5.279,27.5,50.3%,-105,Bovada,-106,DraftKings,NEUTRAL,27.5,0.0,50.5%,49.5%,0.1143,27.5,0.0,51.7%,48.3%,0.1143,,,,,,,,,,,28.5,1.0,53.1%,46.9%,0.1143,27.5,0.0,51.1%,48.9%,0.1143,-1.78,-1.24,-0.07,-3.9,-1.68,1.8,1.6,0.0165,100.0%
206,Jalen Green,3PA,6.5,OVER,Underdog,,,60.8%,15.15,,,0.0,,,0,0,,0.0682,1.0,-1.1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.49,0.79,-1.16,0.5,-1.44,1.2,0.4,0.0161,100.0%
207,De'Aaron Fox,AST,5.5,OVER,Underdog,,0.88x,58.4%,15.01,,,0.0244,0.5492,0.5644,4,6,0.0092,0.0352,1.0,2.0665,5.5,50.6%,135,Bovada,115,BetRivers,NEUTRAL,5.5,0.0,54.2%,45.8%,0.0443,5.5,0.0,54.1%,45.9%,0.0443,5.5,0.0,56.7%,43.3%,0.0443,5.5,0.0,54.6%,45.4%,0.0443,6.5,1.0,57.3%,42.7%,0.0443,6.5,1.0,61.7%,38.3%,0.0443,-0.56,-0.07,0.25,-0.1,-0.65,1.6,1.6,0.0084,100.0%
208,Julius Randle,FTM,5.5,UNDER,Underdog and PrizePicks,,,59.5%,14.99,,,0.0,,,0,0,,0.0553,1.0,1.5729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16,-0.03,0.25,-0.1,-0.39,1.2,0.8,0.0055,100.0%
209,Stephon Castle,AST,7.5,UNDER,Underdog,,0.85x,60.6%,14.55,,,-0.0137,0.5287,0.5263,5,6,-0.0113,0.077,1.0,1.0231,7.5,55.1%,180,Bovada,-122,BetRivers,NEUTRAL,7.5,0.0,47.1%,52.9%,0.0657,7.5,0.0,45.6%,54.4%,0.0657,7.5,0.0,49.1%,50.9%,0.0657,7.5,0.0,46.3%,53.7%,0.0657,8.5,1.0,48.6%,51.4%,0.0657,7.5,0.0,47.6%,52.4%,0.0657,-0.18,0.75,-0.17,1.5,-1.87,0.6,0.4,0.0029,100.0%
210,Devin Booker,STL,0.5,OVER,PrizePicks,Goblin,,60.2%,14.53,,,0.0,,,0,0,,0.0622,1.0,0.0932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.41,0.12,-0.3,0.1,-0.42,0.6,0.4,0.0329,100.0%
211,Devin Booker,AST,6.5,UNDER,Underdog and PrizePicks,,,61.7%,14.51,,,-0.0261,0.5174,0.5139,5,6,-0.0226,0.0996,1.0,1.8621,6.5,54.0%,170,Bovada,-122,FanDuel,NEUTRAL,6.5,0.0,48.5%,51.5%,0.0769,6.5,0.0,47.7%,52.3%,0.0769,6.5,0.0,48.7%,51.3%,0.0769,6.5,0.0,48.4%,51.6%,0.0769,7.5,1.0,50.3%,49.7%,0.0769,6.5,0.0,48.0%,52.0%,0.0769,-0.32,-0.41,0.74,-0.7,0.15,1.2,1.2,0.0156,100.0%
212,Tyrese Maxey,SB,2.5,UNDER,Underdog,,0.88x,59.1%,14.49,,,0.0,,,0,0,,0.0509,1.0,2.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.98,-0.51,1.3,-0.95,0.6,0.4,0.0113,100.0%
213,Karl-Anthony Towns,REB,10.5,OVER,PrizePicks,,,64.6%,14.44,,,-0.0453,0.4947,0.4947,1,1,-0.0453,0.1513,1.0,0.392,10.5,49.5%,-112,FanDuel,-118,FanDuel,NEUTRAL,10.5,0.0,49.5%,50.5%,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,-0.29,-0.28,-0.89,-1.3,-0.06,1.6,1.6,0.016,100.0%
214,Tobias Harris,PTS,14.5,UNDER,Underdog,,0.89x,60.6%,14.42,,,-0.0157,0.5225,0.5243,3,6,-0.0175,0.0832,1.0,2.8275,14.5,53.5%,205,Bovada,102,BetRivers,NEUTRAL,14.5,0.0,48.3%,51.7%,0.0657,14.5,0.0,47.2%,52.8%,0.0657,13.5,-1.0,47.0%,53.0%,0.0657,14.5,0.0,47.8%,52.2%,0.0657,17.5,3.0,51.1%,48.9%,0.0657,13.5,-1.0,44.1%,55.9%,0.0657,-0.25,-0.19,1.5,-0.9,-0.33,1.4,1.6,0.0066,100.0%
215,Joel Embiid,FTM,7.5,UNDER,Underdog,,1.03x,59.4%,14.4,,,0.0,,,0,0,,0.0543,1.0,0.5216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,0.13,-0.4,0.3,-0.45,0.6,0.4,0.0028,100.0%
216,Paul George,PRA,25.0,UNDER,PrizePicks,,,61.1%,14.35,,,-0.0205,,0.5195,0,6,-0.0205,0.091,1.0,3.94,24.5,51.9%,125,Bovada,-108,FanDuel,NEUTRAL,24.5,-0.5,49.0%,51.0%,0.0705,24.5,-0.5,47.8%,52.2%,0.0705,25.5,0.5,47.7%,52.3%,0.0705,24.5,-0.5,47.3%,52.7%,0.0705,26.5,1.5,49.1%,50.9%,0.0705,24.5,-0.5,47.5%,52.5%,0.0705,0.03,0.28,0.95,2.8,-2.51,1.2,1.2,0.0402,100.0%
217,Jalen Brunson,REB,2.5,OVER,PrizePicks,,,60.6%,14.33,,,-0.012,0.528,0.528,1,1,-0.012,0.0779,1.0,0.7907,2.5,52.8%,-130,FanDuel,-102,FanDuel,NEUTRAL,2.5,0.0,52.8%,47.2%,0.0659,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5,0.41,0.13,0.7,-1.55,1.2,0.4,0.0034,100.0%
218,Isaiah Hartenstein,RA,11.5,OVER,PrizePicks,,,62.0%,14.09,,,-0.0213,0.5187,0.5187,1,1,-0.0213,0.1008,1.0,-0.5002,11.5,51.9%,-125,FanDuel,-106,FanDuel,NEUTRAL,11.5,0.0,51.9%,48.1%,0.0795,,,,,,,,,,,,,,,,,,,,,,,,,,-0.25,-0.82,-0.37,-6.1,4.24,1.2,1.6,0.0075,100.0%
219,Ausar Thompson,PA,14.0,UNDER,PrizePicks,,,61.9%,14.08,,,-0.0287,,0.5113,0,4,-0.0287,0.1075,1.0,1.7278,13.5,49.2%,105,Bovada,100,FanDuel,NEUTRAL,13.5,-0.5,49.4%,50.6%,0.0788,13.5,-0.5,48.2%,51.8%,0.0788,,,,,,,,,,,14.5,0.5,49.7%,50.3%,0.0788,13.5,-0.5,48.2%,51.8%,0.0788,-0.21,-0.08,-0.17,-0.4,-0.62,1.6,1.6,0.0047,100.0%
220,Victor Wembanyama,TOV,2.5,UNDER,Underdog,,0.77x,58.8%,14.03,,,0.0,,,0,0,,0.0483,1.0,1.6227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0,-0.71,-0.66,-0.7,0.7,1.4,1.6,0.0059,100.0%
221,Ace Bailey,PA,20.5,OVER,PrizePicks,,,60.0%,14.01,,,-0.0418,0.5007,0.4982,2,3,-0.0393,0.0995,1.0,10.2222,20.5,48.2%,110,Bovada,-115,DraftKings,NEUTRAL,,,,,,20.5,0.0,49.9%,50.1%,0.0602,,,,,,,,,,,21.5,1.0,49.3%,50.7%,0.0602,20.5,0.0,50.3%,49.7%,0.0602,0.54,-0.77,3.0,-7.5,12.75,1.0,1.2,0.0091,100.0%
222,Devin Booker,TOV,2.5,OVER,Underdog and PrizePicks,Goblin,,59.1%,13.98,,,0.0,,,0,0,,0.0512,1.0,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.54,0.23,0.0,0.3,-1.01,0.8,0.8,0.0033,100.0%
223,Rudy Gobert,PA,14.5,UNDER,PrizePicks,,,62.1%,13.88,,,-0.02,0.52,0.52,1,1,-0.02,0.1006,1.0,-0.1719,14.5,52.0%,-105,BetMGM,-125,BetMGM,NEUTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,0.0,48.0%,52.0%,0.0806,-0.39,0.11,-0.15,0.5,-2.24,1.2,0.8,0.0367,100.0%
224,VJ Edgecombe,PTS,15.5,OVER,Underdog and PrizePicks,,,63.0%,13.85,,,-0.0418,0.5,0.4982,3,6,-0.04,0.1301,1.0,1.9715,15.5,47.4%,185,Bovada,116,BetRivers,NEUTRAL,15.5,0.0,50.0%,50.0%,0.0901,15.5,0.0,49.1%,50.9%,0.0901,14.5,-1.0,52.1%,47.9%,0.0901,16.5,1.0,49.6%,50.3%,0.0901,18.5,3.0,47.2%,52.8%,0.0901,15.5,0.0,50.9%,49.1%,0.0901,-0.06,-0.93,0.58,-9.7,9.08,1.4,1.6,0.0143,100.0%
225,Jalen Green,FGM,7.5,OVER,PrizePicks,,,57.9%,13.62,,,0.0,,,0,0,,0.0392,1.0,3.5149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,0.44,-0.46,0.9,0.0,1.4,0.8,0.0092,100.0%
226,Jalen Green,PA,23.5,OVER,Underdog and PrizePicks,,,61.5%,13.47,,,-0.0358,0.4987,0.5043,2,4,-0.0413,0.1167,1.0,5.2947,24.0,48.1%,110,Bovada,-114,DraftKings,NEUTRAL,23.5,0.0,49.5%,50.5%,0.0754,23.5,0.0,50.3%,49.7%,0.0754,,,,,,,,,,,24.5,1.0,49.3%,50.7%,0.0754,24.5,1.0,52.7%,47.3%,0.0754,0.57,0.1,-0.83,0.5,2.36,1.4,1.2,0.0054,100.0%
227,Brandon Miller,3PA,8.5,UNDER,Underdog,,1.07x,58.9%,13.43,,,0.0,,,0,0,,0.0493,1.0,1.6212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24,0.07,-0.05,0.1,-0.46,1.4,0.8,0.0352,100.0%
228,Tyrese Maxey,PTS,23.5,OVER,PrizePicks,,,66.1%,13.3,,,-0.0088,0.4893,0.5312,1,6,-0.0507,0.1722,1.0,-4.3687,24.5,45.5%,205,Bovada,-118,DraftKings,FAVORABLE,24.5,1.0,52.8%,47.2%,0.1215,24.5,1.0,54.3%,45.7%,0.1215,24.5,1.0,53.3%,46.7%,0.1215,24.5,1.0,53.3%,46.7%,0.1215,28.5,5.0,56.0%,44.0%,0.1215,23.5,0.0,48.9%,51.1%,0.1215,-1.28,-0.96,-0.06,-4.1,-1.37,1.8,1.6,0.0209,100.0%
229,Tyrese Maxey,PA,30.5,OVER,Underdog and PrizePicks,,,63.4%,13.23,,,-0.0298,0.5084,0.5102,3,4,-0.0316,0.1251,1.0,-3.1428,30.5,49.9%,100,Bovada,-109,DraftKings,NEUTRAL,30.5,0.0,50.5%,49.5%,0.0936,30.5,0.0,51.2%,48.8%,0.0936,,,,,,,,,,,31.5,1.0,51.5%,48.5%,0.0936,30.5,0.0,50.8%,49.2%,0.0936,-0.85,-0.51,-0.04,-3.1,-2.04,1.8,1.6,0.0064,100.0%
230,Jalen Green,REB,4.5,UNDER,Underdog,,0.83x,59.6%,13.22,,,-0.0206,0.5296,0.5194,5,6,-0.0104,0.066,1.0,1.2462,4.5,55.2%,180,Bovada,-125,BetRivers,NEUTRAL,4.5,0.0,46.3%,53.7%,0.0556,4.5,0.0,47.7%,52.3%,0.0556,4.5,0.0,48.4%,51.6%,0.0556,4.5,0.0,46.3%,53.7%,0.0556,5.5,1.0,53.1%,46.9%,0.0556,4.5,0.0,46.5%,53.5%,0.0556,-0.35,-0.12,0.17,-0.3,-0.56,1.2,1.2,0.0085,100.0%
231,Joel Embiid,PRA,37.5,OVER,Underdog,,,61.7%,13.09,,,-0.0265,0.509,0.5135,4,6,-0.031,0.1081,1.0,1.1206,37.5,48.4%,120,Bovada,-110,FanDuel,NEUTRAL,37.5,0.0,51.1%,48.9%,0.0771,37.5,0.0,50.9%,49.1%,0.0771,39.5,2.0,53.4%,46.6%,0.0771,37.5,0.0,50.5%,49.5%,0.0771,39.5,2.0,51.1%,48.9%,0.0771,37.5,0.0,51.1%,48.9%,0.0771,-0.21,-1.61,0.02,-6.7,5.82,1.8,2.0,0.0086,100.0%
232,Rudy Gobert,TOV,1.5,UNDER,PrizePicks,,,57.9%,12.99,,,0.0,,,0,0,,0.0393,1.0,1.9274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12,-0.26,0.25,-0.3,0.16,1.0,1.2,0.0029,100.0%
233,Shai Gilgeous-Alexander,PTS,30.5,UNDER,PrizePicks,,,59.2%,12.98,,,-0.0159,0.5241,0.5241,1,1,-0.0159,0.0684,1.0,3.195,30.5,52.4%,-104,FanDuel,-128,FanDuel,NEUTRAL,30.5,0.0,47.6%,52.4%,0.0525,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,-0.34,0.31,-2.5,3.4,1.0,1.2,0.0072,100.0%
234,Isaiah Hartenstein,PA,10.5,OVER,PrizePicks,,,60.9%,12.98,,,-0.0159,0.5241,0.5241,1,1,-0.0159,0.0847,1.0,-1.4851,10.5,52.4%,-128,FanDuel,-104,FanDuel,NEUTRAL,10.5,0.0,52.4%,47.6%,0.0688,,,,,,,,,,,,,,,,,,,,,,,,,,-0.62,-0.29,0.36,-1.3,-1.44,1.0,0.8,0.005,100.0%
235,Devin Booker,FTA,8.5,UNDER,PrizePicks,,,58.7%,12.95,,,0.0,,,0,0,,0.0466,1.0,0.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13,0.02,-0.59,0.1,-0.62,0.8,1.2,0.0232,100.0%
