Rank,Player,Stat,Line,Pick,Platform,Goblin/Demon,Multiplier,Confidence,Rank Score,Result,Actual Value,Avg Edge Side,Avg Same Line Market Prob Side,Avg All Books Market Prob Side,Same Line Books,All Books,Edge,Model Alpha,Agreement,Signals,Market Consensus Line,Market Consensus Prob,Best Over Odds,Best Over Book,Best Under Odds,Best Under Book,DFS vs Market,FanDuel line,FanDuel line_delta,FanDuel over_no_vig_prob,FanDuel under_no_vig_prob,FanDuel edge,DraftKings line,DraftKings line_delta,DraftKings over_no_vig_prob,DraftKings under_no_vig_prob,DraftKings edge,BetRivers line,BetRivers line_delta,BetRivers over_no_vig_prob,BetRivers under_no_vig_prob,BetRivers edge,BetOnline line,BetOnline line_delta,BetOnline over_no_vig_prob,BetOnline under_no_vig_prob,BetOnline edge,Bovada line,Bovada line_delta,Bovada over_no_vig_prob,Bovada under_no_vig_prob,Bovada edge,BetMGM line,BetMGM line_delta,BetMGM over_no_vig_prob,BetMGM under_no_vig_prob,BetMGM edge,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio
144,Stephon Castle,SB,1.5,UNDER,PrizePicks,,,65.7%,21.37,,,0.0,,,0,0,,0.1168,1.0,-2.0694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,-0.79,-4.5,-0.5,0.51,1.6,1.6,0.0219,100.0%
145,Donte DiVincenzo,PR,17.5,UNDER,PrizePicks,,,69.7%,21.16,,,-0.0453,0.5,0.4947,3,4,-0.04,0.1969,1.0,-1.6435,17.5,51.0%,105,Bovada,-110,DraftKings,NEUTRAL,17.5,0.0,50.0%,50.0%,0.1569,17.5,0.0,51.1%,48.9%,0.1569,,,,,,,,,,,18.5,1.0,52.1%,47.9%,0.1569,17.5,0.0,48.9%,51.1%,0.1569,-0.13,-0.84,-3.0,-5.5,4.63,1.6,1.6,0.0236,100.0%
146,Joel Embiid,BLK,0.5,OVER,PrizePicks,Goblin,,60.5%,21.01,,,0.0374,0.5774,0.5774,1,1,0.0374,0.0273,1.0,0.517,0.5,57.7%,-164,BetMGM,120,BetMGM,NEUTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,57.7%,42.3%,0.0647,-0.88,-0.79,-0.25,-0.5,-0.06,1.4,1.6,0.0206,100.0%
147,Ausar Thompson,PTS,11.0,UNDER,PrizePicks,,,63.9%,20.9,,,-0.0039,,0.5361,0,5,-0.0039,0.1031,1.0,2.1846,10.5,52.6%,165,Bovada,-108,FanDuel,NEUTRAL,10.5,-0.5,46.5%,53.5%,0.0992,10.5,-0.5,45.2%,54.8%,0.0992,10.5,-0.5,46.4%,53.6%,0.0992,10.5,-0.5,45.2%,54.8%,0.0992,12.5,1.5,48.8%,51.2%,0.0992,,,,,,-0.23,-0.1,0.25,-0.4,-0.54,1.6,1.6,0.0038,100.0%
148,Victor Wembanyama,PA,28.5,UNDER,Underdog and PrizePicks,,,66.7%,20.78,,,-0.0041,0.518,0.5359,2,4,-0.022,0.1486,1.0,-0.3137,28.0,51.0%,-105,BetMGM,-106,FanDuel,NEUTRAL,27.5,-1.0,46.7%,53.3%,0.1266,28.5,0.0,48.4%,51.6%,0.1266,,,,,,,,,,,28.5,0.0,48.0%,52.0%,0.1266,27.5,-1.0,42.5%,57.5%,0.1266,-0.25,-0.33,-0.62,-1.7,0.39,1.0,1.2,0.0035,100.0%
149,Donte DiVincenzo,PRA,21.5,UNDER,Underdog and PrizePicks,,,68.3%,20.76,,,-0.035,0.5103,0.505,4,6,-0.0297,0.173,1.0,-1.7583,21.5,51.5%,130,Bovada,104,BetRivers,NEUTRAL,21.5,0.0,48.9%,51.1%,0.1433,21.5,0.0,49.7%,50.3%,0.1433,20.5,-1.0,48.5%,51.5%,0.1433,21.5,0.0,49.2%,50.8%,0.1433,23.5,2.0,52.7%,47.3%,0.1433,21.5,0.0,48.0%,52.0%,0.1433,-0.13,-0.97,-3.0,-6.3,5.44,1.6,1.6,0.023,100.0%
150,Julius Randle,REB,7.0,UNDER,PrizePicks,,,63.2%,20.55,,,-0.0015,,0.5385,0,6,-0.0015,0.0936,1.0,2.9272,6.5,51.1%,210,Bovada,104,FanDuel,NEUTRAL,6.5,-0.5,45.8%,54.2%,0.0921,6.5,-0.5,45.8%,54.2%,0.0921,6.5,-0.5,45.0%,55.0%,0.0921,6.5,-0.5,45.1%,54.9%,0.0921,8.5,1.5,53.1%,46.9%,0.0921,6.5,-0.5,42.1%,57.9%,0.0921,-0.07,-0.53,0.5,-1.4,1.22,1.6,1.6,0.0071,100.0%
151,Jalen Green,PRA,27.5,OVER,Underdog,,0.86x,63.6%,20.52,,,-0.0028,0.5267,0.5373,4,6,-0.0133,0.109,1.0,6.0772,27.5,50.9%,105,Bovada,104,BetRivers,NEUTRAL,27.5,0.0,52.4%,47.6%,0.0957,27.5,0.0,52.3%,47.7%,0.0957,27.5,0.0,54.4%,45.6%,0.0957,27.5,0.0,51.6%,48.4%,0.0957,29.5,2.0,54.3%,45.7%,0.0957,29.5,2.0,57.3%,42.7%,0.0957,0.51,0.05,-1.1,0.3,2.92,1.8,1.6,0.0208,100.0%
152,Miles Bridges,SB,0.5,OVER,PrizePicks,Goblin,,64.2%,20.52,,,0.0,,,0,0,,0.1023,1.0,0.1238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.47,-0.26,-0.41,-0.3,-0.24,1.0,0.8,0.0186,100.0%
153,Jalen Duren,TOV,2.5,UNDER,Underdog,,0.76x,64.1%,20.48,,,0.0,,,0,0,,0.1007,1.0,-0.1138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.72,0.1,-0.75,0.1,-0.84,1.2,0.8,0.0063,100.0%
