Rank,Player,Stat,Line,Pick,Platform,Goblin/Demon,Multiplier,Confidence,Tier,Recommendation,Rank Score,Result,Actual value,FULL_ALL Pick,FULL_ALL Confidence,FULL_ALL Rank score,FULL_ALL Result,FULL_TIGHT Pick,FULL_TIGHT Confidence,FULL_TIGHT Rank score,FULL_TIGHT Result,REDUCED_ALL Pick,REDUCED_ALL Confidence,REDUCED_ALL Rank score,REDUCED_ALL Result,REDUCED_TIGHT Pick,REDUCED_TIGHT Confidence,REDUCED_TIGHT Rank score,REDUCED_TIGHT Result,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio,FanDuel line,FanDuel line_delta,FanDuel over_hit_prob,FanDuel under_hit_prob,FanDuel edge,DraftKings line,DraftKings line_delta,DraftKings over_hit_prob,DraftKings under_hit_prob,DraftKings edge,BetRivers line,BetRivers line_delta,BetRivers over_hit_prob,BetRivers under_hit_prob,BetRivers edge,BetOnline line,BetOnline line_delta,BetOnline over_hit_prob,BetOnline under_hit_prob,BetOnline edge,Bovada line,Bovada line_delta,Bovada over_hit_prob,Bovada under_hit_prob,Bovada edge,BetMGM line,BetMGM line_delta,BetMGM over_hit_prob,BetMGM under_hit_prob,BetMGM edge
210,Jalen Duren,REB,11.5,UNDER,Underdog,,0.86x,72.1%,B,STRONG BET,44.24,❌ MISS,14.0,UNDER,72.0%,44.18,❌ MISS,UNDER,70.5%,43.34,❌ MISS,UNDER,73.8%,45.13,❌ MISS,UNDER,72.2%,44.3,❌ MISS,-0.48,-0.75,-1.73,-1.5,0.54,1.6,2.0,0.0115,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Bam Adebayo,STL,1.5,UNDER,Underdog,,0.72x,68.9%,A,BET,44.19,❌ MISS,2.0,UNDER,68.6%,44.0,❌ MISS,UNDER,68.6%,44.0,❌ MISS,UNDER,69.3%,44.4,❌ MISS,UNDER,69.2%,44.37,❌ MISS,-0.29,0.26,-0.71,0.3,-0.64,1.2,1.2,0.0035,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Ace Bailey,3PA,10.5,UNDER,Underdog and PrizePicks,,,74.6%,B,STRONG BET,44.08,✅ HIT,6.0,UNDER,75.5%,44.57,✅ HIT,UNDER,74.2%,43.88,✅ HIT,UNDER,74.8%,44.19,✅ HIT,UNDER,73.9%,43.68,✅ HIT,-0.92,0.09,1.5,0.5,-5.65,1.4,1.2,0.0061,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Alex Caruso,REB,1.5,OVER,PrizePicks,Goblin,,72.2%,B,STRONG BET,44.05,✅ HIT,4.0,OVER,72.9%,44.42,✅ HIT,OVER,72.8%,44.34,✅ HIT,OVER,71.8%,43.78,✅ HIT,OVER,71.5%,43.64,✅ HIT,-0.49,-0.59,-1.5,-1.5,0.27,1.6,1.6,0.0062,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Myles Turner,PTS,11.5,UNDER,Underdog and PrizePicks,,,58.3%,D,DO NOT BET,43.98,NO GAME,,UNDER,57.2%,42.54,NO GAME,UNDER,57.3%,42.7,NO GAME,UNDER,59.3%,45.24,NO GAME,UNDER,59.4%,45.44,NO GAME,0.12,-1.22,0.25,-3.9,4.29,1.6,1.6,0.0106,100.0%,11.5,0.0,49.5%,50.5%,0.0504,11.5,0.0,49.6%,50.4%,0.0513,11.5,0.0,49.1%,50.9%,0.0477,11.5,0.0,49.7%,50.3%,0.0521,13.5,2.0,32.9%,67.2%,-0.0576,11.5,0.0,51.1%,48.9%,0.0608
215,Tyler Herro,3PM,1.5,OVER,PrizePicks,Goblin,,71.2%,S,STRONG BET,43.92,✅ HIT,4.0,OVER,72.7%,44.77,✅ HIT,OVER,72.3%,44.53,✅ HIT,OVER,70.2%,43.37,✅ HIT,OVER,69.5%,43.02,✅ HIT,-1.0,-0.71,-0.58,-0.7,-0.28,1.6,1.6,0.0135,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,VJ Edgecombe,AST,3.5,OVER,PrizePicks,Goblin,,64.4%,C,DO NOT BET,43.87,✅ HIT,6.0,OVER,64.5%,43.98,✅ HIT,OVER,62.7%,41.89,✅ HIT,OVER,66.1%,45.99,✅ HIT,OVER,64.1%,43.64,✅ HIT,-0.17,-0.58,0.0,-1.7,1.2,1.2,1.6,0.012,100.0%,4.5,1.0,47.0%,53.0%,0.1126,4.5,1.0,44.7%,55.3%,0.1278,4.5,1.0,50.1%,49.9%,0.0928,4.5,1.0,46.8%,53.2%,0.1142,4.5,1.0,44.5%,55.5%,0.1293,4.5,1.0,49.8%,50.2%,0.0945
217,Isaiah Hartenstein,PRA,17.5,OVER,PrizePicks,,,65.5%,D,STRONG BET,43.81,❌ MISS,13.0,OVER,65.6%,43.88,❌ MISS,OVER,65.4%,43.61,❌ MISS,OVER,65.5%,43.73,❌ MISS,OVER,65.7%,44.03,❌ MISS,-0.5,-0.28,-3.0,-3.1,-2.45,1.2,0.8,0.0013,100.0%,17.5,0.0,50.0%,50.0%,0.101,,,,,,,,,,,,,,,,,,,,,,,,,
218,Reed Sheppard,SB,2.5,UNDER,Underdog,,0.87x,70.1%,A,STRONG BET,43.76,✅ HIT,2.0,UNDER,68.6%,42.94,✅ HIT,UNDER,68.4%,42.81,✅ HIT,UNDER,71.9%,44.76,✅ HIT,UNDER,71.5%,44.51,✅ HIT,-0.46,0.94,-0.96,0.7,-1.05,0.8,0.4,0.0161,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Reed Sheppard,TOV,2.5,UNDER,Underdog and PrizePicks,,,73.1%,A,STRONG BET,43.75,✅ HIT,2.0,UNDER,74.3%,44.41,✅ HIT,UNDER,73.9%,44.15,✅ HIT,UNDER,72.4%,43.36,✅ HIT,UNDER,71.9%,43.08,✅ HIT,-0.66,-0.07,-1.15,-0.1,-0.79,0.6,0.8,0.0099,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Kawhi Leonard,3PM,2.5,UNDER,Underdog,,0.89x,58.2%,S,DO NOT BET,43.74,✅ HIT,2.0,UNDER,60.5%,46.47,✅ HIT,UNDER,60.6%,46.64,✅ HIT,UNDER,55.7%,40.78,✅ HIT,UNDER,56.0%,41.05,✅ HIT,0.14,0.6,-1.5,0.7,-0.54,1.0,0.8,0.0235,100.0%,2.5,0.0,46.8%,53.2%,0.0325,2.5,0.0,45.0%,55.0%,0.0206,2.5,0.0,46.0%,54.0%,0.0272,2.5,0.0,45.4%,54.6%,0.0232,2.5,0.0,44.6%,55.4%,0.0181,2.5,0.0,45.5%,54.5%,0.0238
221,Austin Reaves,3PM,1.5,OVER,PrizePicks,Goblin,,63.6%,S,BET WITH CAUTION,43.72,✅ HIT,2.0,OVER,65.1%,45.18,✅ HIT,OVER,64.8%,44.79,✅ HIT,OVER,62.5%,42.7,✅ HIT,OVER,61.9%,42.2,✅ HIT,-1.06,0.12,-0.27,0.1,-0.95,1.4,1.2,0.0139,100.0%,2.5,1.0,61.7%,38.3%,0.0121,2.5,1.0,63.2%,36.8%,0.0024,2.5,1.0,63.6%,36.4%,-0.0002,2.5,1.0,63.4%,36.6%,0.0014,2.5,1.0,63.1%,36.9%,0.0031,2.5,1.0,67.5%,32.6%,-0.0251
222,Darius Garland,REB,2.5,UNDER,Underdog,,0.87x,58.2%,B,DO NOT BET,43.7,❌ MISS,4.0,UNDER,59.0%,44.66,❌ MISS,UNDER,57.8%,43.21,❌ MISS,UNDER,58.5%,44.12,❌ MISS,UNDER,57.4%,42.81,❌ MISS,-0.15,-0.4,-0.71,-0.3,0.19,1.2,1.2,0.0061,100.0%,,,,,,2.5,0.0,43.7%,56.3%,0.0121,2.5,0.0,48.5%,51.5%,0.0436,2.5,0.0,45.0%,55.0%,0.0206,2.5,0.0,43.7%,56.3%,0.0123,2.5,0.0,48.0%,52.0%,0.0401
223,Reed Sheppard,3PA,8.5,UNDER,Underdog,,1.04x,73.5%,B,STRONG BET,43.7,❌ MISS,10.0,UNDER,77.0%,45.6,❌ MISS,UNDER,75.6%,44.86,❌ MISS,UNDER,71.1%,42.37,❌ MISS,UNDER,70.4%,41.96,❌ MISS,-0.56,0.04,-2.16,0.1,-1.67,1.2,1.6,0.0284,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Julius Randle,3PM,0.5,OVER,PrizePicks,Goblin,,71.4%,S,STRONG BET,43.65,❌ MISS,0.0,OVER,73.2%,44.61,❌ MISS,OVER,72.8%,44.37,❌ MISS,OVER,70.2%,42.99,❌ MISS,OVER,69.6%,42.63,❌ MISS,-0.86,-0.88,-0.67,-0.9,0.02,1.2,1.6,0.0155,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,CJ McCollum,REB,3.5,UNDER,Underdog,,0.81x,64.6%,B,DO NOT BET,43.65,✅ HIT,1.0,UNDER,66.1%,44.48,✅ HIT,UNDER,64.7%,43.7,✅ HIT,UNDER,64.5%,43.56,✅ HIT,UNDER,63.2%,42.84,✅ HIT,-0.08,-0.98,1.38,-1.3,1.19,1.4,1.6,0.0106,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Chet Holmgren,SB,2.5,UNDER,Underdog,,0.83x,69.7%,A,BET,43.61,✅ HIT,0.0,UNDER,72.0%,44.9,✅ HIT,UNDER,71.6%,44.7,✅ HIT,UNDER,67.6%,42.5,✅ HIT,UNDER,67.3%,42.35,✅ HIT,-0.03,0.2,-2.0,0.3,-0.35,1.2,1.2,0.0216,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,VJ Edgecombe,FGA,17.5,OVER,Underdog and PrizePicks,,1.03x,53.6%,D,DO NOT BET,43.54,❌ MISS,9.0,OVER,52.4%,42.89,❌ MISS,OVER,51.4%,42.29,❌ MISS,OVER,56.1%,44.9,❌ MISS,OVER,54.6%,44.08,❌ MISS,0.58,-0.56,3.0,-3.5,7.11,1.0,1.6,0.0184,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Joel Embiid,AST,4.0,UNDER,PrizePicks,,,58.3%,C,DO NOT BET,43.5,❌ MISS,7.0,UNDER,58.3%,43.54,❌ MISS,UNDER,58.1%,43.31,❌ MISS,UNDER,58.5%,43.62,❌ MISS,UNDER,58.4%,43.52,❌ MISS,-0.04,0.27,-1.0,0.4,-0.46,0.8,1.2,0.0017,100.0%,3.5,-0.5,54.0%,46.0%,0.0805,3.5,-0.5,52.8%,47.2%,0.0721,3.5,-0.5,53.0%,46.9%,0.074,3.5,-0.5,52.3%,47.6%,0.0694,4.5,0.5,34.4%,65.6%,-0.0473,3.5,-0.5,51.2%,48.8%,0.062
229,Luka Dončić,AST,8.0,UNDER,PrizePicks,,,57.3%,C,DO NOT BET,43.46,✅ HIT,7.0,UNDER,60.6%,47.5,✅ HIT,UNDER,60.1%,46.94,✅ HIT,UNDER,54.1%,39.56,✅ HIT,UNDER,54.3%,39.86,✅ HIT,0.14,-0.7,0.17,-1.8,2.15,1.2,1.6,0.0308,100.0%,7.5,-0.5,54.4%,45.6%,0.0757,7.5,-0.5,55.4%,44.6%,0.0824,7.5,-0.5,54.8%,45.2%,0.0783,7.5,-0.5,54.7%,45.3%,0.078,9.5,1.5,33.4%,66.6%,-0.0604,8.5,0.5,44.1%,55.9%,0.0089
230,Jaden McDaniels,3PM,0.5,OVER,PrizePicks,Goblin,,69.8%,S,BET,43.45,✅ HIT,3.0,OVER,70.4%,43.83,✅ HIT,OVER,70.0%,43.6,✅ HIT,OVER,69.6%,43.37,✅ HIT,OVER,69.0%,43.01,✅ HIT,-0.67,-0.66,0.0,-0.9,-0.01,1.2,1.2,0.0055,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,LeBron James,3PM,0.5,OVER,PrizePicks,Goblin,,64.1%,S,BET WITH CAUTION,43.45,❌ MISS,0.0,OVER,66.6%,46.24,❌ MISS,OVER,66.2%,45.77,❌ MISS,OVER,62.0%,41.2,❌ MISS,OVER,61.4%,40.56,❌ MISS,-1.11,-0.4,1.5,-0.3,-0.53,1.2,1.2,0.0238,100.0%,1.5,1.0,46.4%,53.6%,0.1149,1.5,1.0,48.2%,51.8%,0.1034,1.5,1.0,46.9%,53.1%,0.1116,1.5,1.0,46.4%,53.6%,0.1149,1.5,1.0,48.2%,51.8%,0.1034,1.5,1.0,45.8%,54.2%,0.1187
232,Chet Holmgren,BLK,1.5,UNDER,Underdog and PrizePicks,,,66.8%,S,BET,43.44,✅ HIT,0.0,UNDER,71.8%,46.15,✅ HIT,UNDER,71.9%,46.24,✅ HIT,UNDER,61.6%,40.56,✅ HIT,UNDER,62.1%,40.82,✅ HIT,0.26,0.32,-1.0,0.5,-0.1,1.0,1.2,0.0501,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Austin Reaves,RA,10.5,UNDER,Underdog,,0.85x,58.1%,C,DO NOT BET,43.43,✅ HIT,9.0,UNDER,54.8%,39.35,✅ HIT,UNDER,54.0%,38.5,✅ HIT,UNDER,62.7%,48.86,✅ HIT,UNDER,61.2%,47.03,✅ HIT,-0.14,-0.59,-0.13,-1.1,0.84,1.0,1.2,0.038,100.0%,10.5,0.0,44.8%,55.2%,0.0194,10.5,0.0,45.6%,54.4%,0.0245,,,,,,,,,,,10.5,0.0,45.9%,54.1%,0.0264,10.5,0.0,45.5%,54.5%,0.0236
234,Collin Sexton,RA,4.5,OVER,PrizePicks,,,72.6%,C,STRONG BET,43.42,✅ HIT,5.0,OVER,74.2%,44.25,✅ HIT,OVER,72.0%,43.06,✅ HIT,OVER,73.5%,43.88,✅ HIT,OVER,70.9%,42.49,✅ HIT,-0.87,-1.86,-0.98,-1.9,1.01,1.2,2.0,0.0125,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Naz Reid,PRA,21.0,UNDER,PrizePicks,,,59.8%,D,DO NOT BET,43.4,❌ MISS,28.0,UNDER,60.2%,43.63,❌ MISS,UNDER,59.8%,43.42,❌ MISS,UNDER,59.8%,43.38,❌ MISS,UNDER,59.4%,43.2,❌ MISS,0.31,-0.94,1.19,-3.6,4.79,1.8,2.0,0.0028,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Josh Giddey,PA,29.5,UNDER,Underdog and PrizePicks,,,60.2%,D,DO NOT BET,43.39,❌ MISS,35.0,UNDER,57.5%,40.18,❌ MISS,UNDER,57.1%,39.8,❌ MISS,UNDER,63.2%,47.03,❌ MISS,UNDER,62.8%,46.54,❌ MISS,-0.43,-0.61,-0.17,-4.1,1.21,1.2,1.6,0.0287,100.0%,28.5,-1.0,49.6%,50.4%,0.0633,29.5,0.0,48.4%,51.6%,0.0556,,,,,,,,,,,29.5,0.0,48.0%,52.0%,0.0531,29.5,0.0,48.9%,51.1%,0.0591
237,Onyeka Okongwu,3PM,0.5,OVER,PrizePicks,Goblin,,73.2%,S,STRONG BET,43.37,✅ HIT,3.0,OVER,73.0%,43.24,✅ HIT,OVER,72.5%,43.01,✅ HIT,OVER,74.0%,43.8,✅ HIT,OVER,73.3%,43.43,✅ HIT,-1.63,-0.56,-0.6,-0.5,-0.95,1.2,1.2,0.0053,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Nikola Jokić,BLK,0.5,OVER,PrizePicks,Goblin,,56.8%,S,BET WITH CAUTION,43.34,❌ MISS,0.0,OVER,58.1%,44.85,❌ MISS,OVER,57.1%,43.68,❌ MISS,OVER,56.5%,42.98,❌ MISS,OVER,55.6%,41.85,❌ MISS,-0.3,-0.46,0.0,-0.5,0.18,1.4,1.2,0.0091,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,62.0%,38.0%,-0.0337
239,Naz Reid,3PA,4.5,UNDER,Underdog,,,58.7%,B,DO NOT BET,43.31,❌ MISS,5.0,UNDER,59.6%,43.82,❌ MISS,UNDER,59.5%,43.73,❌ MISS,UNDER,57.8%,42.82,❌ MISS,UNDER,57.9%,42.88,❌ MISS,1.34,-1.74,1.79,-1.7,3.01,1.4,2.0,0.0085,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Jaime Jaquez Jr.,3PM,0.5,OVER,Underdog,,,55.7%,S,DO NOT BET,43.3,✅ HIT,2.0,OVER,56.6%,43.81,✅ HIT,OVER,56.3%,43.62,✅ HIT,OVER,55.2%,43.0,✅ HIT,OVER,54.7%,42.76,✅ HIT,-0.15,-0.4,6.0,-0.3,0.18,1.2,1.2,0.0079,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Julius Randle,STL,1.5,UNDER,Underdog,,0.76x,69.8%,A,BET,43.24,❌ MISS,2.0,UNDER,69.7%,43.19,❌ MISS,UNDER,69.7%,43.18,❌ MISS,UNDER,69.9%,43.31,❌ MISS,UNDER,69.9%,43.28,❌ MISS,-0.27,0.35,-1.86,0.5,-0.88,1.2,0.8,0.0011,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Brandon Ingram,REB,5.0,UNDER,PrizePicks,,,55.4%,B,DO NOT BET,43.23,❌ MISS,6.0,UNDER,54.9%,42.87,❌ MISS,UNDER,53.8%,41.65,❌ MISS,UNDER,57.0%,44.79,❌ MISS,UNDER,56.0%,43.62,❌ MISS,0.31,-0.31,1.5,-0.6,1.2,1.4,1.6,0.0118,100.0%,4.5,-0.5,50.3%,49.7%,0.037,4.5,-0.5,47.6%,52.3%,0.0199,4.5,-0.5,50.4%,49.6%,0.0379,4.5,-0.5,48.4%,51.6%,0.025,5.5,0.5,42.8%,57.2%,-0.0118,4.5,-0.5,49.2%,50.7%,0.0303
243,Brandin Podziemski,3PM,1.5,OVER,Underdog and PrizePicks,Goblin,0.76x,55.8%,S,DO NOT BET,43.21,✅ HIT,2.0,OVER,54.9%,42.05,✅ HIT,OVER,54.6%,41.69,✅ HIT,OVER,57.1%,44.83,✅ HIT,OVER,56.6%,44.29,✅ HIT,-0.35,0.4,1.33,0.3,-0.56,1.2,0.8,0.011,100.0%,1.5,0.0,59.1%,40.9%,-0.0212,1.5,0.0,60.5%,39.5%,-0.0302,1.5,0.0,56.7%,43.3%,-0.006,1.5,0.0,59.1%,40.9%,-0.0216,2.5,1.0,61.2%,38.8%,-0.0353,1.5,0.0,59.4%,40.6%,-0.0236
244,Brandin Podziemski,STL,0.5,OVER,PrizePicks,Goblin,,61.4%,A,BET WITH CAUTION,43.19,❌ MISS,0.0,OVER,60.0%,41.79,❌ MISS,OVER,59.5%,41.2,❌ MISS,OVER,63.2%,45.19,❌ MISS,OVER,62.7%,44.59,❌ MISS,-1.49,-0.75,4.5,-0.3,-0.3,1.6,1.6,0.0164,100.0%,1.5,1.0,48.5%,51.5%,0.0836,,,,,,,,,,,,,,,,,,,,,,,,,
245,Paul George,FTM,2.5,UNDER,Underdog,,0.78x,70.9%,B,STRONG BET,43.13,✅ HIT,0.0,UNDER,72.7%,44.1,✅ HIT,UNDER,71.5%,43.47,✅ HIT,UNDER,70.2%,42.75,✅ HIT,UNDER,69.2%,42.19,✅ HIT,-0.08,-1.46,-2.12,-1.7,1.61,1.4,1.6,0.0132,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Jalen Williams,RA,7.0,OVER,PrizePicks,,,67.5%,C,BET WITH CAUTION,43.12,❌ MISS,6.0,OVER,68.2%,43.96,❌ MISS,OVER,66.5%,41.95,❌ MISS,OVER,68.7%,44.55,❌ MISS,OVER,66.5%,42.04,❌ MISS,-0.82,-0.48,-1.5,-1.8,-1.27,1.2,1.2,0.0097,100.0%,7.5,0.5,45.1%,54.9%,0.1453,,,,,,,,,,,,,,,,,,,,,,,,,
247,Brandin Podziemski,FGA,11.5,UNDER,PrizePicks,,,72.3%,D,STRONG BET,43.06,✅ HIT,11.0,UNDER,72.0%,42.9,✅ HIT,UNDER,69.1%,41.29,✅ HIT,UNDER,75.4%,44.73,✅ HIT,UNDER,72.8%,43.31,✅ HIT,-0.39,-0.49,-2.24,-1.5,0.32,1.2,1.6,0.0223,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,James Harden,REB,5.5,UNDER,Underdog,,0.82x,66.9%,B,STRONG BET,43.06,❌ MISS,9.0,UNDER,68.4%,43.85,❌ MISS,UNDER,66.9%,43.05,❌ MISS,UNDER,66.9%,43.05,❌ MISS,UNDER,65.5%,42.3,❌ MISS,-0.44,-0.23,-0.0,-0.3,-0.28,1.4,1.2,0.01,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Jalen Williams,PTS,13.5,OVER,Underdog,,,60.3%,D,DO NOT BET,43.05,❌ MISS,7.0,OVER,62.8%,45.97,❌ MISS,OVER,61.9%,44.97,❌ MISS,OVER,58.7%,41.14,❌ MISS,OVER,57.9%,40.1,❌ MISS,-0.47,-0.37,1.5,-3.1,-0.92,1.6,1.2,0.0207,100.0%,12.5,-1.0,52.7%,47.3%,0.0495,,,,,,,,,,,,,,,,,,,,,,,,,
250,Austin Reaves,PR,29.0,UNDER,PrizePicks,,,58.4%,D,DO NOT BET,43.05,✅ HIT,26.0,UNDER,52.5%,36.06,✅ HIT,UNDER,52.4%,36.0,✅ HIT,UNDER,64.3%,50.15,✅ HIT,UNDER,64.2%,50.0,✅ HIT,-0.12,-0.96,0.26,-5.6,4.88,1.2,1.6,0.0589,100.0%,28.5,-0.5,52.0%,48.0%,0.0673,29.5,0.5,48.0%,52.0%,0.0412,,,,,,,,,,,29.5,0.5,48.4%,51.6%,0.0438,28.5,-0.5,50.1%,49.9%,0.0552
251,Jalen Johnson,STL,0.5,OVER,PrizePicks,Goblin,,70.1%,A,STRONG BET,43.04,❌ MISS,0.0,OVER,70.3%,43.12,❌ MISS,OVER,69.6%,42.76,❌ MISS,OVER,70.6%,43.32,❌ MISS,OVER,70.0%,42.96,❌ MISS,-1.09,-0.94,-1.04,-0.7,-0.12,1.8,1.6,0.0037,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Brandon Ingram,3PM,1.5,UNDER,Underdog,,0.85x,54.6%,S,DO NOT BET,43.04,❌ MISS,2.0,UNDER,54.3%,42.71,❌ MISS,UNDER,54.5%,42.97,❌ MISS,UNDER,54.6%,43.09,❌ MISS,UNDER,54.9%,43.39,❌ MISS,0.14,0.36,1.5,0.7,-0.42,1.2,1.2,0.002,100.0%,1.5,0.0,44.8%,55.2%,-0.0039,1.5,0.0,45.6%,54.4%,0.0013,1.5,0.0,45.6%,54.4%,0.0011,1.5,0.0,46.0%,54.0%,0.0039,1.5,0.0,45.9%,54.1%,0.0032,1.5,0.0,48.9%,51.1%,0.0228
253,Evan Mobley,PTS,17.5,OVER,Underdog,,0.88x,68.1%,D,STRONG BET,43.02,❌ MISS,8.0,OVER,68.9%,43.47,❌ MISS,OVER,67.9%,42.93,❌ MISS,OVER,68.3%,43.15,❌ MISS,OVER,67.2%,42.53,❌ MISS,-0.19,-1.02,-1.18,-4.1,3.34,1.8,2.0,0.0062,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Quentin Grimes,AST,3.5,OVER,Underdog,,0.80x,55.7%,C,DO NOT BET,42.93,✅ HIT,5.0,OVER,57.3%,44.82,✅ HIT,OVER,56.1%,43.44,✅ HIT,OVER,55.3%,42.39,✅ HIT,OVER,54.2%,41.09,✅ HIT,0.03,-0.05,0.58,-0.1,0.17,0.8,1.2,0.0114,100.0%,3.5,0.0,52.8%,47.2%,0.0188,3.5,0.0,54.1%,45.9%,0.0103,3.5,0.0,54.5%,45.5%,0.0075,3.5,0.0,53.4%,46.6%,0.0147,4.5,1.0,41.9%,58.1%,0.09,3.5,0.0,51.1%,48.9%,0.0301
255,Immanuel Quickley,PA,22.5,UNDER,Underdog and PrizePicks,,0.94x,57.7%,D,DO NOT BET,42.92,NO GAME,,UNDER,60.4%,46.16,NO GAME,UNDER,60.1%,45.79,NO GAME,UNDER,55.4%,40.15,NO GAME,UNDER,54.9%,39.6,NO GAME,0.1,-1.5,-0.19,-5.9,6.3,1.2,1.6,0.0255,100.0%,21.5,-1.0,51.5%,48.5%,0.0598,22.5,0.0,52.3%,47.7%,0.0646,,,,,,,,,,,23.5,1.0,47.0%,53.0%,0.0301,22.5,0.0,47.6%,52.4%,0.0341
256,Scoot Henderson,TOV,2.5,UNDER,Underdog,,0.77x,64.6%,A,BET WITH CAUTION,42.92,✅ HIT,0.0,UNDER,65.6%,43.45,✅ HIT,UNDER,65.3%,43.33,✅ HIT,UNDER,63.8%,42.51,✅ HIT,UNDER,63.6%,42.38,✅ HIT,0.21,-0.1,-0.25,-0.1,0.31,1.2,1.2,0.0086,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Donovan Mitchell,TOV,2.5,OVER,Underdog and PrizePicks,Demon,1.07x,61.0%,A,BET WITH CAUTION,42.91,✅ HIT,3.0,OVER,61.1%,42.98,✅ HIT,OVER,60.4%,42.62,✅ HIT,OVER,61.5%,43.22,✅ HIT,OVER,60.8%,42.82,✅ HIT,-0.46,1.74,2.89,1.3,-1.64,0.6,0.0,0.004,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Aaron Gordon,PRA,25.5,UNDER,PrizePicks,,,56.5%,D,DO NOT BET,42.91,✅ HIT,25.0,UNDER,55.7%,41.99,✅ HIT,UNDER,55.5%,41.65,✅ HIT,UNDER,57.6%,44.21,✅ HIT,UNDER,57.2%,43.81,✅ HIT,-0.08,-0.24,-0.42,-1.3,0.86,1.4,1.6,0.0091,100.0%,24.5,-1.0,50.7%,49.3%,0.0471,,,,,,,,,,,,,,,,,,,,,25.5,0.0,47.6%,52.4%,0.0265
259,Joel Embiid,AST,3.5,OVER,Underdog,,0.87x,55.2%,C,DO NOT BET,42.87,✅ HIT,7.0,OVER,56.2%,43.94,✅ HIT,OVER,55.1%,42.62,✅ HIT,OVER,55.4%,43.13,✅ HIT,OVER,54.3%,41.76,✅ HIT,-0.29,-0.6,0.7,-0.9,0.46,1.6,1.2,0.0066,100.0%,3.5,0.0,56.3%,43.7%,-0.0069,3.5,0.0,55.0%,45.0%,0.0015,3.5,0.0,55.3%,44.7%,-0.0004,3.5,0.0,54.6%,45.4%,0.0041,4.5,1.0,33.0%,67.0%,0.1445,3.5,0.0,53.5%,46.5%,0.0116
260,Julius Randle,FGA,16.5,UNDER,Underdog and PrizePicks,,,67.0%,D,DO NOT BET,42.86,❌ MISS,27.0,UNDER,67.7%,43.22,❌ MISS,UNDER,65.4%,41.95,❌ MISS,UNDER,68.5%,43.65,❌ MISS,UNDER,66.6%,42.62,❌ MISS,-0.46,-0.53,0.62,-1.5,0.19,1.6,1.2,0.0117,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Pascal Siakam,TOV,1.5,OVER,PrizePicks,Goblin,,66.2%,A,BET,42.83,✅ HIT,4.0,OVER,69.4%,44.6,✅ HIT,OVER,68.5%,44.13,✅ HIT,OVER,63.8%,41.52,✅ HIT,OVER,63.0%,41.08,✅ HIT,-0.82,0.12,0.46,0.1,-0.76,1.4,1.2,0.0281,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
