Rank,Player,Stat,Line,Pick,Platform,Goblin/Demon,Multiplier,Confidence,Tier,Recommendation,Rank Score,Result,Actual value,FULL_ALL Pick,FULL_ALL Confidence,FULL_ALL Rank score,FULL_ALL Result,FULL_TIGHT Pick,FULL_TIGHT Confidence,FULL_TIGHT Rank score,FULL_TIGHT Result,REDUCED_ALL Pick,REDUCED_ALL Confidence,REDUCED_ALL Rank score,REDUCED_ALL Result,REDUCED_TIGHT Pick,REDUCED_TIGHT Confidence,REDUCED_TIGHT Rank score,REDUCED_TIGHT Result,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio,FanDuel line,FanDuel line_delta,FanDuel over_hit_prob,FanDuel under_hit_prob,FanDuel edge,DraftKings line,DraftKings line_delta,DraftKings over_hit_prob,DraftKings under_hit_prob,DraftKings edge,BetRivers line,BetRivers line_delta,BetRivers over_hit_prob,BetRivers under_hit_prob,BetRivers edge,BetOnline line,BetOnline line_delta,BetOnline over_hit_prob,BetOnline under_hit_prob,BetOnline edge,Bovada line,Bovada line_delta,Bovada over_hit_prob,Bovada under_hit_prob,Bovada edge,BetMGM line,BetMGM line_delta,BetMGM over_hit_prob,BetMGM under_hit_prob,BetMGM edge
12,Collin Sexton,AST,1.5,OVER,PrizePicks,Goblin,,80.3%,C,STRONG BET,62.59,✅ HIT,4.0,OVER,81.6%,63.98,✅ HIT,OVER,79.1%,61.01,✅ HIT,OVER,81.5%,64.21,✅ HIT,OVER,78.9%,61.15,✅ HIT,-1.36,-1.4,-1.56,-1.9,0.05,1.6,2.0,0.0127,100.0%,,,,,,,,,,,,,,,,2.5,1.0,58.9%,41.1%,0.1392,,,,,,,,,,
13,Paul George,PA,23.5,UNDER,PrizePicks,,,77.6%,D,STRONG BET,62.52,❌ MISS,32.0,UNDER,79.6%,64.85,❌ MISS,UNDER,79.4%,64.7,❌ MISS,UNDER,75.9%,60.43,❌ MISS,UNDER,75.6%,60.1,❌ MISS,-0.42,-0.37,-1.61,-3.3,-0.53,1.6,1.6,0.0188,100.0%,23.5,0.0,48.1%,51.9%,0.1674,23.5,0.0,49.2%,50.8%,0.1743,,,,,,,,,,,23.5,0.0,48.9%,51.1%,0.1726,22.5,-1.0,48.5%,51.5%,0.1699
14,VJ Edgecombe,PR,25.5,OVER,Underdog and PrizePicks,,,68.6%,D,STRONG BET,62.28,✅ HIT,28.0,OVER,66.9%,60.32,✅ HIT,OVER,66.3%,59.65,✅ HIT,OVER,70.5%,64.51,✅ HIT,OVER,70.6%,64.64,✅ HIT,0.33,-0.62,0.92,-7.1,10.88,1.2,1.6,0.0196,100.0%,25.5,0.0,50.5%,49.5%,0.1173,25.5,0.0,50.8%,49.2%,0.1155,,,,,,,,,,,26.5,1.0,47.1%,52.9%,0.1398,26.5,1.0,50.1%,49.9%,0.12
15,Paul George,RA,10.0,UNDER,PrizePicks,,,75.1%,C,STRONG BET,62.05,❌ MISS,10.0,UNDER,76.2%,63.33,❌ MISS,UNDER,73.6%,60.24,❌ MISS,UNDER,76.6%,63.97,❌ MISS,UNDER,73.9%,60.66,❌ MISS,-0.98,-1.03,-0.42,-1.2,0.05,1.8,2.0,0.0134,100.0%,9.5,-0.5,53.1%,46.9%,0.1836,10.5,0.5,47.2%,52.8%,0.1447,,,,,,,,,,,10.5,0.5,46.9%,53.1%,0.1431,10.5,0.5,46.2%,53.8%,0.1384
16,Collin Sexton,REB,1.5,OVER,PrizePicks,Goblin,,74.6%,B,STRONG BET,61.22,❌ MISS,1.0,OVER,74.9%,61.19,❌ MISS,OVER,74.7%,61.08,❌ MISS,OVER,74.6%,61.46,❌ MISS,OVER,74.3%,61.13,❌ MISS,-0.6,-1.68,-0.73,-1.5,0.96,1.4,2.0,0.0024,100.0%,,,,,,,,,,,,,,,,2.5,1.0,51.7%,48.3%,0.1491,,,,,,,,,,
17,Jalen Williams,AST,2.5,OVER,PrizePicks,Goblin,,79.1%,C,STRONG BET,60.88,✅ HIT,3.0,OVER,79.9%,61.69,✅ HIT,OVER,77.4%,58.76,✅ HIT,OVER,80.8%,63.05,✅ HIT,OVER,78.2%,60.03,✅ HIT,-0.97,-0.82,-1.5,-2.5,-0.44,1.8,1.6,0.0133,100.0%,3.5,1.0,58.8%,41.2%,0.1316,,,,,,,,,,,,,,,,,,,,,,,,,
18,LeBron James,3PM,1.5,UNDER,Underdog,,0.72x,72.4%,S,STRONG BET,60.79,✅ HIT,0.0,UNDER,70.7%,58.72,✅ HIT,UNDER,70.7%,58.75,✅ HIT,UNDER,74.2%,62.92,✅ HIT,UNDER,74.0%,62.76,✅ HIT,-0.22,-0.94,-1.5,-0.7,0.53,1.6,1.6,0.0171,100.0%,1.5,0.0,37.3%,62.7%,0.0631,1.5,0.0,39.1%,60.9%,0.0746,1.5,0.0,37.8%,62.2%,0.0664,1.5,0.0,37.3%,62.7%,0.0631,1.5,0.0,39.1%,60.9%,0.0746,1.5,0.0,36.7%,63.3%,0.0593
19,Ace Bailey,REB,6.0,UNDER,PrizePicks,,,78.3%,B,STRONG BET,60.74,✅ HIT,5.0,UNDER,80.1%,62.78,✅ HIT,UNDER,78.5%,60.99,✅ HIT,UNDER,78.1%,60.55,✅ HIT,UNDER,76.6%,58.72,✅ HIT,-0.63,-0.33,-1.5,-1.0,-0.9,1.6,1.2,0.0123,100.0%,6.5,0.5,41.6%,58.4%,0.1295,5.5,-0.5,53.4%,46.6%,0.2066,5.5,-0.5,54.0%,46.0%,0.2102,6.5,0.5,43.4%,56.6%,0.1413,7.5,1.5,1.0%,99.0%,-0.1343,6.5,0.5,45.4%,54.6%,0.1541
20,Jayson Tatum,3PM,3.5,UNDER,Underdog,,0.80x,72.5%,S,STRONG BET,60.69,✅ HIT,3.0,UNDER,74.1%,62.61,✅ HIT,UNDER,74.0%,62.59,✅ HIT,UNDER,70.9%,58.83,✅ HIT,UNDER,70.8%,58.73,✅ HIT,-0.62,-0.75,-0.25,-0.9,0.15,1.2,1.6,0.0159,100.0%,3.5,0.0,40.2%,59.8%,0.0823,,,,,,,,,,,,,,,,,,,,,,,,,
21,Paul George,PA,22.5,UNDER,Underdog,,,74.6%,D,STRONG BET,60.27,❌ MISS,32.0,UNDER,77.0%,63.23,❌ MISS,UNDER,76.8%,63.05,❌ MISS,UNDER,72.4%,57.61,❌ MISS,UNDER,72.1%,57.23,❌ MISS,-0.31,-0.25,-1.39,-2.3,-0.53,1.6,1.6,0.023,100.0%,23.5,1.0,47.1%,52.9%,0.1407,23.5,1.0,48.1%,51.9%,0.1477,,,,,,,,,,,23.5,1.0,47.9%,52.1%,0.1459,22.5,0.0,48.0%,52.0%,0.1467
