Rank,Player,Stat,Line,Pick,Confidence,Tier,Recommendation,Rank Score,Result,Actual value,FULL_ALL Pick,FULL_ALL Confidence,FULL_ALL Rank score,FULL_ALL Result,FULL_TIGHT Pick,FULL_TIGHT Confidence,FULL_TIGHT Rank score,FULL_TIGHT Result,REDUCED_ALL Pick,REDUCED_ALL Confidence,REDUCED_ALL Rank score,REDUCED_ALL Result,REDUCED_TIGHT Pick,REDUCED_TIGHT Confidence,REDUCED_TIGHT Rank score,REDUCED_TIGHT Result,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio
1,Victor Wembanyama,BLK,3.5,UNDER,87.60%,S,STRONG BET,87.07,✅ HIT,2,UNDER,89.00%,88.5,✅ HIT,UNDER,88.80%,88.28,✅ HIT,UNDER,86.30%,85.82,✅ HIT,UNDER,86.20%,85.66,✅ HIT,-0.6,1.37,-1,1.1,-1.58,0.2,0,0.0133,100.00%
2,Rudy Gobert,STL,1.5,UNDER,82.80%,A,STRONG BET,79.98,✅ HIT,0,UNDER,83.50%,80.67,✅ HIT,UNDER,83.30%,80.44,✅ HIT,UNDER,82.40%,79.53,✅ HIT,UNDER,82.20%,79.28,✅ HIT,-0.61,-0.26,-2.89,-0.3,-0.41,1.6,1.2,0.0059,100.00%
3,Bam Adebayo,STL,1.5,UNDER,77.00%,A,STRONG BET,78.87,❌ MISS,2,UNDER,80.90%,82.82,❌ MISS,UNDER,80.70%,82.63,❌ MISS,UNDER,73.20%,75.08,❌ MISS,UNDER,73.10%,74.96,❌ MISS,-0.21,0.25,0.46,0.5,-0.91,1.8,1.6,0.0386,100.00%
4,Quentin Grimes,TOV,2.5,UNDER,78.60%,A,STRONG BET,77.52,✅ HIT,2,UNDER,80.40%,79.28,✅ HIT,UNDER,79.80%,78.7,✅ HIT,UNDER,77.50%,76.38,✅ HIT,UNDER,76.80%,75.74,✅ HIT,-0.43,-0.48,-0.93,-0.7,0.06,1.4,1.2,0.015,100.00%
5,Onyeka Okongwu,STL,1.5,UNDER,76.50%,A,STRONG BET,77.11,✅ HIT,1,UNDER,78.00%,78.61,✅ HIT,UNDER,77.90%,78.45,✅ HIT,UNDER,75.20%,75.76,✅ HIT,UNDER,75.00%,75.61,✅ HIT,-0.34,0.1,-0.25,0.1,-0.44,1.4,0.8,0.0142,100.00%
6,Quentin Grimes,FTM,3.5,UNDER,78.90%,B,STRONG BET,77.11,❌ MISS,11,UNDER,78.40%,76.62,❌ MISS,UNDER,76.80%,75.02,❌ MISS,UNDER,81.20%,79.35,❌ MISS,UNDER,79.30%,77.44,❌ MISS,-0.53,-0.79,-1.3,-1.5,0.5,1.8,1.6,0.0156,100.00%
7,Victor Wembanyama,STL,1.5,UNDER,79.40%,A,STRONG BET,76.6,✅ HIT,1,UNDER,80.20%,77.42,✅ HIT,UNDER,80.00%,77.23,✅ HIT,UNDER,78.80%,75.99,✅ HIT,UNDER,78.60%,75.78,✅ HIT,-0.43,-0.26,-3,-0.3,-0.2,1.4,1.2,0.0073,100.00%
8,De'Aaron Fox,STL,1.5,UNDER,75.70%,A,STRONG BET,74.54,✅ HIT,1,UNDER,75.90%,74.67,✅ HIT,UNDER,75.70%,74.54,✅ HIT,UNDER,75.70%,74.55,✅ HIT,UNDER,75.60%,74.38,✅ HIT,-0.38,-0.94,-1,-0.7,0.42,1.4,1.6,0.001,100.00%
9,Tobias Harris,STL,1.5,UNDER,77.00%,A,STRONG BET,74.28,✅ HIT,0,UNDER,76.10%,73.46,✅ HIT,UNDER,76.00%,73.33,✅ HIT,UNDER,78.00%,75.27,✅ HIT,UNDER,77.80%,75.08,✅ HIT,-0.68,-1.12,-1.73,-0.9,0.36,1.4,1.6,0.009,100.00%
10,Reed Sheppard,PRA,21.5,OVER,68.90%,D,STRONG BET,74.05,❌ MISS,16,OVER,68.90%,74.08,❌ MISS,OVER,68.60%,73.79,❌ MISS,OVER,68.90%,74.06,❌ MISS,OVER,69.10%,74.28,❌ MISS,0.29,-1.17,2.52,-7.9,9.84,1.6,2,0.0017,100.00%
11,Brandon Miller,STL,1.5,UNDER,74.90%,A,STRONG BET,73.75,❌ MISS,3,UNDER,74.60%,73.45,❌ MISS,UNDER,74.50%,73.34,❌ MISS,UNDER,75.30%,74.18,❌ MISS,UNDER,75.20%,74.03,❌ MISS,-0.38,-0.26,-1.5,-0.3,-0.14,1.4,1.2,0.0036,100.00%
12,Anthony Edwards,3PA,9.5,UNDER,73.80%,B,STRONG BET,73.36,❌ MISS,10,UNDER,73.50%,73.08,❌ MISS,UNDER,72.40%,71.92,❌ MISS,UNDER,75.10%,74.68,❌ MISS,UNDER,74.20%,73.75,❌ MISS,-0.39,-0.22,-0.13,-0.5,-0.39,1.2,1.6,0.01,100.00%
13,Amen Thompson,3PM,0.5,UNDER,72.60%,S,STRONG BET,73.25,❌ MISS,1,UNDER,73.40%,73.96,❌ MISS,UNDER,73.30%,73.95,❌ MISS,UNDER,72.00%,72.6,❌ MISS,UNDER,71.90%,72.49,❌ MISS,-0.35,-0.2,-0.27,-0.1,-0.07,1.6,1.2,0.007,100.00%
14,Jrue Holiday,STL,1.5,UNDER,76.00%,A,STRONG BET,73.12,✅ HIT,1,UNDER,75.20%,72.35,✅ HIT,UNDER,75.10%,72.23,✅ HIT,UNDER,76.90%,74.04,✅ HIT,UNDER,76.70%,73.86,✅ HIT,-0.83,-1.75,-1.73,-0.7,0.37,1.8,2,0.0083,100.00%
15,VJ Edgecombe,TOV,2.5,UNDER,76.80%,A,STRONG BET,72.7,✅ HIT,2,UNDER,79.50%,75.33,✅ HIT,UNDER,78.90%,74.76,✅ HIT,UNDER,74.80%,70.65,✅ HIT,UNDER,74.20%,70.08,✅ HIT,-1.34,-2.25,-1.5,-1.1,0.44,1.6,2,0.0236,100.00%
16,Brandon Miller,3PA,9.5,UNDER,72.60%,B,STRONG BET,72.54,✅ HIT,7,UNDER,72.10%,72.03,✅ HIT,UNDER,71.00%,70.95,✅ HIT,UNDER,74.10%,74.04,✅ HIT,UNDER,73.20%,73.15,✅ HIT,-0.48,-1,1.5,-2.7,1.41,1.2,1.6,0.0116,100.00%
17,Tyler Herro,FGA,18.5,UNDER,75.90%,D,STRONG BET,72.52,NO GAME,,UNDER,77.40%,73.99,NO GAME,UNDER,73.90%,70.48,NO GAME,UNDER,77.60%,74.2,NO GAME,UNDER,74.90%,71.43,NO GAME,-0.9,-1.05,-0.97,-2.7,0.4,1.8,1.6,0.016,100.00%
18,Quentin Grimes,AST,4.5,UNDER,76.70%,C,STRONG BET,72.47,✅ HIT,2,UNDER,78.10%,73.89,✅ HIT,UNDER,76.40%,72.17,✅ HIT,UNDER,76.90%,72.7,✅ HIT,UNDER,75.40%,71.14,✅ HIT,-1.45,-3.07,-0.43,-2.3,1.21,1.8,2,0.0099,100.00%
19,Collin Sexton,STL,1.5,UNDER,73.00%,A,STRONG BET,72.33,NO GAME,,UNDER,75.00%,74.32,NO GAME,UNDER,74.90%,74.2,NO GAME,UNDER,71.10%,70.45,NO GAME,UNDER,71.00%,70.36,NO GAME,-0.46,-0.26,-0.19,-0.3,-0.24,0.8,1.2,0.0193,100.00%
20,Jalen Green,STL,1.5,UNDER,74.50%,A,STRONG BET,72.08,✅ HIT,0,UNDER,76.60%,74.17,✅ HIT,UNDER,76.40%,74.03,✅ HIT,UNDER,72.50%,70.12,✅ HIT,UNDER,72.40%,70.01,✅ HIT,-0.23,-0.07,-3,-0.1,-0.21,1.2,1.6,0.0202,100.00%
21,Michael Porter Jr.,STL,1.5,UNDER,72.50%,A,STRONG BET,72.04,✅ HIT,1,UNDER,74.70%,74.21,✅ HIT,UNDER,74.60%,74.1,✅ HIT,UNDER,70.50%,69.96,✅ HIT,UNDER,70.40%,69.89,✅ HIT,-0.45,0.31,-0.9,0.3,-0.74,1,0.4,0.0212,100.00%
22,Immanuel Quickley,STL,1.5,UNDER,72.40%,A,STRONG BET,72.04,✅ HIT,1,UNDER,73.20%,72.81,✅ HIT,UNDER,73.10%,72.73,✅ HIT,UNDER,71.70%,71.37,✅ HIT,UNDER,71.60%,71.27,✅ HIT,-0.23,-0.26,-1,-0.3,0.03,1.4,1.2,0.0073,100.00%
