Rank,Player,Stat,Line,Pick,Confidence,Tier,Recommendation,Rank Score,Result,Actual value,FULL_ALL Pick,FULL_ALL Confidence,FULL_ALL Rank score,FULL_ALL Result,FULL_TIGHT Pick,FULL_TIGHT Confidence,FULL_TIGHT Rank score,FULL_TIGHT Result,REDUCED_ALL Pick,REDUCED_ALL Confidence,REDUCED_ALL Rank score,REDUCED_ALL Result,REDUCED_TIGHT Pick,REDUCED_TIGHT Confidence,REDUCED_TIGHT Rank score,REDUCED_TIGHT Result,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio
216,Bennedict Mathurin,3PM,1.5,UNDER,55.2%,S,DO NOT BET,56.63,✅ HIT,0.0,UNDER,54.7%,56.18,✅ HIT,UNDER,54.9%,56.4,✅ HIT,UNDER,55.4%,56.84,✅ HIT,UNDER,55.6%,57.08,✅ HIT,0.16,-0.56,0.12,-0.5,0.64,1.6,1.2,0.0035,100.0%
217,Russell Westbrook,AST,6.5,UNDER,56.8%,C,DO NOT BET,56.58,❌ MISS,10.0,UNDER,56.0%,55.82,❌ MISS,UNDER,56.0%,55.77,❌ MISS,UNDER,57.6%,57.41,❌ MISS,UNDER,57.6%,57.33,❌ MISS,0.01,0.87,-2.12,2.1,-2.08,1.0,0.4,0.0079,100.0%
218,Luka Dončić,FTM,7.5,UNDER,55.4%,B,DO NOT BET,56.56,✅ HIT,6.0,UNDER,56.0%,57.17,✅ HIT,UNDER,56.6%,57.76,✅ HIT,UNDER,54.1%,55.23,✅ HIT,UNDER,54.9%,56.1,✅ HIT,0.15,-0.43,-0.15,-1.1,1.49,1.2,0.8,0.0097,100.0%
219,Brandon Miller,PRA,28.5,OVER,57.9%,D,DO NOT BET,56.53,❌ MISS,15.0,OVER,57.2%,55.86,❌ MISS,OVER,57.2%,55.83,❌ MISS,OVER,58.4%,57.06,❌ MISS,OVER,58.7%,57.35,❌ MISS,-0.1,-0.29,-1.5,-1.9,1.22,1.2,0.8,0.0068,100.0%
220,Onyeka Okongwu,3PM,1.5,OVER,56.4%,S,DO NOT BET,56.5,❌ MISS,0.0,OVER,56.0%,56.01,❌ MISS,OVER,55.6%,55.68,❌ MISS,OVER,57.3%,57.4,❌ MISS,OVER,56.9%,56.92,❌ MISS,-0.24,-0.54,0.41,-1.3,0.73,1.0,1.2,0.0069,100.0%
221,Nikola Jokić,PTS,28.5,UNDER,55.7%,D,DO NOT BET,56.39,✅ HIT,24.0,UNDER,51.2%,51.96,✅ HIT,UNDER,51.6%,52.32,✅ HIT,UNDER,59.9%,60.56,✅ HIT,UNDER,60.0%,60.71,✅ HIT,0.03,0.07,-0.37,0.5,-0.31,0.8,0.8,0.0425,100.0%
222,Payton Pritchard,RA,8.5,OVER,57.9%,C,DO NOT BET,56.38,❌ MISS,8.0,OVER,57.6%,56.1,❌ MISS,OVER,57.0%,55.44,❌ MISS,OVER,59.1%,57.53,❌ MISS,OVER,58.0%,56.43,❌ MISS,-0.23,-0.17,-1.17,-0.7,-0.25,1.0,1.2,0.0076,100.0%
223,Myles Turner,3PM,1.5,OVER,56.9%,S,DO NOT BET,56.34,❌ MISS,1.0,OVER,58.4%,57.88,❌ MISS,OVER,58.1%,57.53,❌ MISS,OVER,55.7%,55.21,❌ MISS,OVER,55.3%,54.75,❌ MISS,-0.41,-0.32,-0.17,-0.5,-0.13,1.0,0.8,0.0138,100.0%
224,Kawhi Leonard,AST,3.5,OVER,56.2%,C,DO NOT BET,56.32,❌ MISS,0.0,OVER,56.2%,56.3,❌ MISS,OVER,55.1%,55.22,❌ MISS,OVER,57.4%,57.53,❌ MISS,OVER,56.1%,56.24,❌ MISS,-0.12,-0.33,-0.39,-0.7,0.45,1.2,0.8,0.0082,100.0%
225,LaMelo Ball,TOV,2.5,UNDER,53.7%,A,DO NOT BET,56.31,✅ HIT,1.0,UNDER,58.9%,61.48,✅ HIT,UNDER,58.8%,61.48,✅ HIT,OVER,51.7%,51.06,❌ MISS,OVER,51.3%,50.68,❌ MISS,0.26,-0.26,1.33,-0.3,0.61,1.0,0.8,0.0518,50.0%
226,Trae Young,3PM,1.5,OVER,56.5%,S,DO NOT BET,56.3,❌ MISS,0.0,OVER,58.4%,58.25,❌ MISS,OVER,58.1%,57.9,❌ MISS,OVER,54.9%,54.76,❌ MISS,OVER,54.5%,54.32,❌ MISS,-0.2,-0.41,0.0,-0.7,0.35,0.8,1.2,0.0178,100.0%
227,Stephon Castle,FTM,3.5,UNDER,52.9%,B,DO NOT BET,56.27,❌ MISS,4.0,UNDER,52.5%,55.83,❌ MISS,UNDER,53.5%,56.82,❌ MISS,UNDER,52.3%,55.68,❌ MISS,UNDER,53.4%,56.76,❌ MISS,0.19,0.39,0.64,1.5,-0.79,1.4,1.2,0.0052,100.0%
228,Miles Bridges,3PM,1.5,OVER,56.6%,S,DO NOT BET,56.24,✅ HIT,4.0,OVER,57.8%,57.45,✅ HIT,OVER,57.5%,57.11,✅ HIT,OVER,55.8%,55.44,✅ HIT,OVER,55.4%,54.98,✅ HIT,-0.46,0.26,-0.46,0.3,-0.83,0.8,0.8,0.0105,100.0%
229,Nikola Jokić,PRA,52.5,UNDER,56.9%,D,DO NOT BET,56.18,❌ MISS,54.0,UNDER,54.6%,53.9,❌ MISS,UNDER,54.3%,53.64,❌ MISS,UNDER,59.4%,58.76,❌ MISS,UNDER,59.1%,58.42,❌ MISS,-0.1,0.12,-0.8,0.9,-1.62,0.8,0.8,0.0241,100.0%
230,Bam Adebayo,3PA,5.5,UNDER,55.3%,B,DO NOT BET,56.11,❌ MISS,7.0,UNDER,56.4%,57.19,❌ MISS,UNDER,56.5%,57.29,❌ MISS,UNDER,54.0%,54.79,❌ MISS,UNDER,54.4%,55.16,❌ MISS,-0.03,0.55,-0.51,3.7,-3.91,1.0,1.2,0.0114,100.0%
231,Russell Westbrook,RA,10.5,UNDER,52.4%,C,DO NOT BET,56.1,❌ MISS,22.0,UNDER,50.6%,54.29,❌ MISS,UNDER,50.3%,54.04,❌ MISS,UNDER,54.6%,58.33,❌ MISS,UNDER,54.0%,57.75,❌ MISS,0.28,0.63,-0.07,3.3,-1.83,1.4,0.8,0.0195,100.0%
232,Kevin Porter Jr.,PR,22.5,UNDER,56.4%,D,DO NOT BET,56.08,❌ MISS,25.0,UNDER,53.2%,52.81,❌ MISS,UNDER,53.1%,52.74,❌ MISS,UNDER,59.8%,59.44,❌ MISS,UNDER,59.7%,59.31,❌ MISS,-0.02,-0.93,-0.3,-5.3,5.19,1.0,1.6,0.033,100.0%
233,Luka Dončić,PRA,49.5,UNDER,54.5%,D,DO NOT BET,56.08,❌ MISS,54.0,UNDER,53.4%,54.96,❌ MISS,UNDER,53.2%,54.74,❌ MISS,UNDER,55.9%,57.48,❌ MISS,UNDER,55.6%,57.15,❌ MISS,-0.03,0.57,0.12,5.1,-5.38,1.2,0.8,0.0124,100.0%
234,Desmond Bane,PR,26.5,UNDER,56.9%,D,DO NOT BET,56.07,✅ HIT,25.0,UNDER,56.8%,55.96,✅ HIT,UNDER,56.6%,55.77,✅ HIT,UNDER,57.2%,56.34,✅ HIT,UNDER,57.0%,56.21,✅ HIT,-0.23,0.25,-0.13,1.9,-3.62,1.0,1.2,0.0022,100.0%
235,Jalen Johnson,PRA,41.5,UNDER,56.0%,D,DO NOT BET,55.97,❌ MISS,45.0,UNDER,53.3%,53.3,❌ MISS,UNDER,53.0%,53.08,❌ MISS,UNDER,58.9%,58.91,❌ MISS,UNDER,58.6%,58.58,❌ MISS,-0.02,-0.36,-0.38,-3.3,3.09,1.0,1.2,0.0278,100.0%
236,Deandre Ayton,PRA,19.5,OVER,57.2%,D,DO NOT BET,55.95,✅ HIT,20.0,OVER,55.7%,54.44,✅ HIT,OVER,55.7%,54.45,✅ HIT,OVER,58.6%,57.3,✅ HIT,OVER,58.9%,57.59,✅ HIT,-0.21,-0.04,0.5,-0.5,-1.82,0.8,1.2,0.015,100.0%
237,CJ McCollum,PR,21.5,OVER,55.2%,D,DO NOT BET,55.92,✅ HIT,33.0,OVER,58.5%,59.18,✅ HIT,OVER,58.2%,58.87,✅ HIT,OVER,52.1%,52.76,✅ HIT,OVER,52.2%,52.89,✅ HIT,-0.39,0.98,-0.4,1.3,-1.82,1.0,0.4,0.031,100.0%
238,De'Aaron Fox,RA,9.5,OVER,55.5%,C,DO NOT BET,55.78,✅ HIT,10.0,OVER,55.9%,56.17,✅ HIT,OVER,55.4%,55.71,✅ HIT,OVER,55.6%,55.98,✅ HIT,OVER,55.0%,55.28,✅ HIT,-0.36,-0.97,1.0,-1.5,0.95,1.2,1.6,0.0033,100.0%
239,Jamal Murray,AST,6.5,UNDER,53.6%,C,DO NOT BET,55.71,✅ HIT,6.0,UNDER,55.4%,57.47,✅ HIT,UNDER,55.4%,57.49,✅ HIT,UNDER,51.6%,53.71,✅ HIT,UNDER,52.1%,54.19,✅ HIT,0.39,-0.68,0.33,-1.1,1.73,1.4,1.2,0.0177,100.0%
240,Nikola Jokić,3PM,1.5,UNDER,54.8%,S,DO NOT BET,55.66,❌ MISS,2.0,UNDER,54.4%,55.28,❌ MISS,UNDER,54.6%,55.49,❌ MISS,UNDER,55.0%,55.81,❌ MISS,UNDER,55.2%,56.05,❌ MISS,0.31,-0.26,-0.58,-0.3,0.66,1.0,1.2,0.0029,100.0%
241,Jalen Johnson,3PA,4.5,UNDER,55.2%,B,DO NOT BET,55.64,❌ MISS,5.0,UNDER,56.2%,56.6,❌ MISS,UNDER,56.3%,56.71,❌ MISS,UNDER,54.0%,54.43,❌ MISS,UNDER,54.4%,54.8,❌ MISS,0.02,-0.26,-0.6,-0.5,0.54,1.2,1.2,0.0103,100.0%
242,CJ McCollum,PRA,25.5,OVER,55.0%,D,DO NOT BET,55.62,✅ HIT,35.0,OVER,59.0%,59.66,✅ HIT,OVER,59.0%,59.58,✅ HIT,OVER,50.8%,51.47,✅ HIT,OVER,51.2%,51.78,✅ HIT,-0.06,0.04,-0.57,0.1,-0.27,1.4,1.6,0.04,100.0%
243,LaMelo Ball,REB,4.5,UNDER,53.6%,B,DO NOT BET,55.6,✅ HIT,4.0,UNDER,53.9%,55.96,✅ HIT,UNDER,52.9%,54.94,✅ HIT,UNDER,54.2%,56.2,✅ HIT,UNDER,53.3%,55.29,✅ HIT,0.17,0.36,0.17,0.7,-0.38,1.0,0.8,0.0051,100.0%
244,Darius Garland,AST,6.5,UNDER,53.1%,C,DO NOT BET,55.59,❌ MISS,7.0,UNDER,51.3%,53.85,❌ MISS,UNDER,51.7%,54.25,❌ MISS,UNDER,54.5%,57.02,❌ MISS,UNDER,54.7%,57.23,❌ MISS,0.12,-0.34,1.5,-0.7,0.94,1.0,1.2,0.0154,100.0%
245,Jaylen Brown,3PM,1.5,OVER,57.0%,S,DO NOT BET,55.59,❌ MISS,0.0,OVER,56.2%,54.8,❌ MISS,OVER,55.9%,54.47,❌ MISS,OVER,58.2%,56.8,❌ MISS,OVER,57.7%,56.3,❌ MISS,-0.76,0.79,-1.73,0.5,-0.98,0.8,0.4,0.0098,100.0%
246,Onyeka Okongwu,PRA,26.5,UNDER,54.2%,D,DO NOT BET,55.53,✅ HIT,12.0,UNDER,53.2%,54.48,✅ HIT,UNDER,53.0%,54.26,✅ HIT,UNDER,55.6%,56.86,✅ HIT,UNDER,55.2%,56.53,✅ HIT,0.08,0.29,-0.69,2.1,-1.5,1.0,0.8,0.0117,100.0%
247,LeBron James,3PA,4.5,UNDER,56.3%,B,DO NOT BET,55.51,✅ HIT,3.0,UNDER,54.3%,53.56,✅ HIT,UNDER,54.6%,53.83,✅ HIT,UNDER,58.0%,57.27,✅ HIT,UNDER,58.1%,57.36,✅ HIT,0.01,-0.44,-1.35,-0.7,0.71,1.0,1.2,0.0181,100.0%
248,Russell Westbrook,PTS,16.5,UNDER,56.7%,D,DO NOT BET,55.47,✅ HIT,12.0,UNDER,53.2%,51.98,✅ HIT,UNDER,53.5%,52.26,✅ HIT,UNDER,60.0%,58.75,✅ HIT,UNDER,60.1%,58.89,✅ HIT,-0.33,0.35,-1.2,1.1,-2.14,1.0,1.2,0.0335,100.0%
249,CJ McCollum,FGA,14.5,UNDER,53.8%,D,DO NOT BET,55.46,❌ MISS,18.0,UNDER,51.5%,53.17,❌ MISS,UNDER,51.9%,53.57,❌ MISS,UNDER,56.0%,57.67,❌ MISS,UNDER,55.7%,57.44,❌ MISS,0.28,-0.34,-0.0,-0.7,1.27,1.2,1.2,0.021,100.0%
250,De'Aaron Fox,PTS,17.5,OVER,57.8%,D,DO NOT BET,55.44,❌ MISS,17.0,OVER,59.1%,56.74,❌ MISS,OVER,58.4%,56.02,❌ MISS,OVER,57.3%,54.92,❌ MISS,OVER,56.5%,54.1,❌ MISS,-0.41,-1.67,0.09,-6.5,4.89,1.2,2.0,0.0101,100.0%
251,Luka Dončić,FGA,23.5,UNDER,56.8%,D,DO NOT BET,55.42,❌ MISS,26.0,UNDER,58.1%,56.73,❌ MISS,UNDER,57.3%,55.97,❌ MISS,UNDER,55.9%,54.6,❌ MISS,UNDER,55.7%,54.38,❌ MISS,-0.49,0.87,-1.22,2.3,-3.6,0.8,0.0,0.0097,100.0%
252,Aaron Gordon,PR,20.5,UNDER,51.2%,D,DO NOT BET,55.42,❌ MISS,32.0,UNDER,55.1%,59.25,❌ MISS,UNDER,54.9%,59.11,❌ MISS,OVER,52.4%,50.27,✅ HIT,OVER,52.6%,50.4,✅ HIT,0.21,-0.37,1.3,-3.9,6.13,0.8,1.2,0.0376,50.0%
253,CJ McCollum,RA,7.5,UNDER,53.7%,C,DO NOT BET,55.41,✅ HIT,5.0,UNDER,53.3%,55.02,✅ HIT,UNDER,52.8%,54.47,✅ HIT,UNDER,54.7%,56.37,✅ HIT,UNDER,54.1%,55.79,✅ HIT,-0.14,0.68,0.51,1.7,-2.05,1.0,0.8,0.0072,100.0%
254,Derrick White,AST,5.5,OVER,55.0%,C,DO NOT BET,55.38,❌ MISS,5.0,OVER,54.0%,54.35,❌ MISS,OVER,53.1%,53.46,❌ MISS,OVER,57.1%,57.48,❌ MISS,OVER,55.9%,56.21,❌ MISS,-0.1,-0.05,-0.49,-0.1,-0.11,1.2,0.8,0.0157,100.0%
255,Victor Wembanyama,FGA,17.5,UNDER,55.8%,D,DO NOT BET,55.35,❌ MISS,24.0,UNDER,55.0%,54.58,❌ MISS,UNDER,54.8%,54.36,❌ MISS,UNDER,56.8%,56.4,❌ MISS,UNDER,56.5%,56.05,❌ MISS,-0.19,-0.13,-0.0,-0.9,-0.4,1.2,0.8,0.0089,100.0%
256,Kevin Porter Jr.,PTS,16.5,UNDER,54.6%,D,DO NOT BET,55.32,❌ MISS,18.0,UNDER,52.5%,53.2,❌ MISS,UNDER,52.8%,53.51,❌ MISS,UNDER,56.5%,57.15,❌ MISS,UNDER,56.7%,57.44,❌ MISS,0.14,-1.14,0.04,-5.5,6.17,1.0,1.6,0.0198,100.0%
257,LaMelo Ball,PR,23.5,OVER,56.7%,D,DO NOT BET,55.31,❌ MISS,21.0,OVER,54.6%,53.2,❌ MISS,OVER,54.4%,53.02,❌ MISS,OVER,58.9%,57.46,❌ MISS,OVER,59.0%,57.58,❌ MISS,-0.11,-0.45,-1.15,-2.7,2.01,1.0,1.2,0.0221,100.0%
258,Miles Bridges,3PA,5.5,UNDER,52.0%,B,DO NOT BET,55.27,❌ MISS,8.0,UNDER,52.1%,55.37,❌ MISS,UNDER,52.5%,55.82,❌ MISS,UNDER,51.4%,54.67,❌ MISS,UNDER,51.9%,55.22,❌ MISS,0.49,-0.48,1.33,-0.7,1.43,1.2,1.2,0.0041,100.0%
259,Victor Wembanyama,PRA,37.5,OVER,52.9%,D,DO NOT BET,55.21,✅ HIT,52.0,OVER,53.8%,56.14,✅ HIT,OVER,53.9%,56.19,✅ HIT,OVER,51.8%,54.1,✅ HIT,OVER,52.1%,54.42,✅ HIT,-0.06,-0.33,2.0,-4.1,3.4,1.4,1.6,0.0096,100.0%
260,Darius Garland,3PM,2.5,UNDER,55.0%,S,DO NOT BET,55.13,❌ MISS,5.0,UNDER,53.8%,53.86,❌ MISS,UNDER,54.0%,54.08,❌ MISS,UNDER,56.1%,56.18,❌ MISS,UNDER,56.3%,56.4,❌ MISS,-0.04,0.66,-1.5,0.9,-0.95,1.0,0.8,0.0117,100.0%
261,Stephon Castle,RA,10.5,OVER,56.3%,C,DO NOT BET,55.13,✅ HIT,17.0,OVER,55.7%,54.47,✅ HIT,OVER,55.2%,54.03,✅ HIT,OVER,57.7%,56.47,✅ HIT,OVER,56.7%,55.53,✅ HIT,-0.36,-0.97,0.43,-4.1,2.6,1.2,1.6,0.0095,100.0%
262,Luka Dončić,RA,16.5,UNDER,53.6%,C,DO NOT BET,55.13,❌ MISS,24.0,UNDER,54.2%,55.77,❌ MISS,UNDER,53.5%,55.11,❌ MISS,UNDER,53.5%,55.03,❌ MISS,UNDER,53.0%,54.6,❌ MISS,-0.04,0.14,0.59,0.5,-0.63,1.0,0.8,0.0042,100.0%
263,DeMar DeRozan,PA,20.5,UNDER,51.8%,D,DO NOT BET,55.06,❌ MISS,34.0,UNDER,50.8%,54.04,❌ MISS,UNDER,50.4%,53.68,❌ MISS,UNDER,53.3%,56.5,❌ MISS,UNDER,52.8%,56.02,❌ MISS,0.15,0.13,-0.0,1.5,0.26,1.2,1.6,0.0122,100.0%
264,Payton Pritchard,PA,22.5,OVER,54.3%,D,DO NOT BET,55.04,❌ MISS,8.0,OVER,51.4%,52.16,❌ MISS,OVER,51.8%,52.53,❌ MISS,OVER,56.7%,57.49,❌ MISS,OVER,57.2%,58.0,❌ MISS,0.03,0.2,-0.79,2.3,-1.97,1.0,1.2,0.0271,100.0%
265,LaMelo Ball,3PA,9.5,UNDER,53.4%,B,DO NOT BET,54.96,❌ MISS,10.0,UNDER,52.7%,54.3,❌ MISS,UNDER,53.1%,54.7,❌ MISS,UNDER,53.6%,55.22,❌ MISS,UNDER,54.0%,55.62,❌ MISS,0.09,0.7,-0.05,1.9,-1.66,0.6,0.4,0.005,100.0%
266,Victor Wembanyama,RA,13.5,UNDER,53.8%,C,DO NOT BET,54.95,❌ MISS,20.0,UNDER,55.5%,56.55,❌ MISS,UNDER,54.7%,55.76,❌ MISS,UNDER,52.8%,53.93,❌ MISS,UNDER,52.5%,53.57,❌ MISS,0.15,-0.15,-0.4,-0.5,1.0,1.0,1.2,0.0124,100.0%
267,Kawhi Leonard,PA,31.5,OVER,55.1%,D,DO NOT BET,54.94,❌ MISS,31.0,OVER,52.1%,51.89,❌ MISS,OVER,52.5%,52.27,❌ MISS,OVER,57.8%,57.54,❌ MISS,OVER,58.3%,58.05,❌ MISS,-0.07,-0.64,0.0,-4.7,4.2,1.0,1.2,0.0287,100.0%
268,Kevin Porter Jr.,PRA,29.5,UNDER,55.3%,D,DO NOT BET,54.9,❌ MISS,32.0,UNDER,53.6%,53.27,❌ MISS,UNDER,53.4%,53.04,❌ MISS,UNDER,57.2%,56.82,❌ MISS,UNDER,56.9%,56.49,❌ MISS,0.03,-1.05,-0.55,-7.1,7.29,1.0,1.6,0.0175,100.0%
269,Austin Reaves,PRA,29.5,OVER,61.0%,D,DO NOT BET,54.83,✅ HIT,45.0,OVER,63.5%,57.34,✅ HIT,OVER,63.3%,57.17,✅ HIT,OVER,58.4%,52.27,✅ HIT,OVER,58.7%,52.55,✅ HIT,-0.6,-0.73,-0.81,-5.7,1.08,0.6,1.2,0.0243,100.0%
