source_file,Rank,rerank_position,Player,Stat,Pick,Confidence,Recommendation,Tier,Result,Rank Score,historical_rerank_score,hybrid_rerank_score,stat_component,tier_component,rec_component,player_component,agreement_component,stability_component
AI Picks by Srini underdog - March 13 2026.csv,374,2179,Donte DiVincenzo,PTS,OVER,54.4%,DO NOT BET,D,❌ MISS,51.69,0.5706987751904568,0.4504649072359745,0.4830232333943893,0.4584602067315036,0.49407702047654983,0.5612466124661246,1.0,0.9741
AI Picks by Srini underdog - March 15 2026.csv,272,2180,DeMar DeRozan,AST,OVER,51.1%,DO NOT BET,C,✅ HIT,53.58,0.5484093748636389,0.45042633830763096,0.4745136763108522,0.4925952315702933,0.49407702047654983,0.415509693558474,1.0,0.9963
AI Picks by Srini underdog - March 11 2026.csv,282,2181,LaMelo Ball,REB,UNDER,50.00%,DO NOT BET,B,❌ MISS,53.46,0.5495956814953483,0.45028000642560156,0.5620746167935988,0.5557229965156795,0.49407702047654983,0.5640975609756097,0.5,0.9959
AI Picks by Srini underdog - March 10 2026.csv,482,2182,Josh Giddey,3PA,UNDER,52.20%,DO NOT BET,B,❌ MISS,52.34,0.5626234710402939,0.45018537849850476,0.5765635645183267,0.5557229965156795,0.49407702047654983,0.42409756097560974,0.75,0.9789
AI Picks by Srini underdog - March 15 2026.csv,198,2183,Brandon Ingram,PA,OVER,53.5%,DO NOT BET,D,✅ HIT,56.27,0.5163626539902764,0.4501617189749701,0.4054911368785819,0.4584602067315036,0.49407702047654983,0.5593495934959349,0.5,0.9625
AI Picks by Srini underdog - March 11 2026.csv,313,2184,Miles Bridges,AST,UNDER,53.00%,DO NOT BET,C,❌ MISS,52.59,0.559550827110579,0.4500994749288578,0.4745136763108522,0.4925952315702933,0.49407702047654983,0.6501742160278745,0.75,0.9706
AI Picks by Srini underdog - March 15 2026.csv,313,2185,Chet Holmgren,REB,OVER,50.6%,DO NOT BET,B,✅ HIT,51.88,0.567872222515304,0.4500802473854727,0.5620746167935988,0.5557229965156795,0.49407702047654983,0.5516629711751663,0.75,0.9955
AI Picks by Srini underdog - March 10 2026.csv,545,2186,Reed Sheppard,3PA,UNDER,53.80%,DO NOT BET,B,✅ HIT,49.4,0.5970255984115677,0.45006969707014016,0.5765635645183267,0.5557229965156795,0.49407702047654983,0.5334688346883468,1.0,0.9894
AI Picks by Srini underdog - March 13 2026.csv,330,2187,James Harden,PA,OVER,57.3%,DO NOT BET,D,❌ MISS,53.47,0.548909690206093,0.4499105646869723,0.4054911368785819,0.4584602067315036,0.49407702047654983,0.39101995565410197,1.0,0.9917
AI Picks by Srini underdog - March 11 2026.csv,276,2188,Brandon Ingram,PTS,OVER,52.40%,DO NOT BET,D,✅ HIT,53.69,0.5462990732934379,0.44989562088025403,0.4830232333943893,0.4584602067315036,0.49407702047654983,0.5593495934959349,0.75,0.9759
AI Picks by Srini underdog - March 14 2026.csv,294,2189,Jaylen Brown,AST,UNDER,52.2%,DO NOT BET,C,✅ HIT,53.74,0.545710401525711,0.4498952472281652,0.4745136763108522,0.4925952315702933,0.49407702047654983,0.3511199601791936,1.0,0.9963
AI Picks by Srini underdog - March 10 2026.csv,439,2190,Collin Sexton,PA,UNDER,54.10%,DO NOT BET,D,NO GAME,53.32,0.5506200117138536,0.449875484676216,0.4054911368785819,0.4584602067315036,0.49407702047654983,0.5170731707317073,1.0,0.9914
AI Picks by Srini underdog - March 14 2026.csv,288,2191,Stephon Castle,PA,UNDER,51.6%,DO NOT BET,D,❌ MISS,53.96,0.5430860538424567,0.44987137842055747,0.4054911368785819,0.4584602067315036,0.49407702047654983,0.5273835920177383,1.0,0.9901
AI Picks by Srini underdog - March 15 2026.csv,307,2192,Russell Westbrook,PA,UNDER,55.2%,DO NOT BET,D,NO GAME,52.25,0.5630629791935284,0.4497829854036268,0.4054911368785819,0.4584602067315036,0.49407702047654983,0.6045528455284552,1.0,0.9905
AI Picks by Srini underdog - March 10 2026.csv,464,2193,Jaden McDaniels,PRA,OVER,51.80%,DO NOT BET,D,❌ MISS,52.73,0.5573612005040379,0.44974655402602,0.4730352303523035,0.4584602067315036,0.49407702047654983,0.5306468716861081,1.0,0.9853
AI Picks by Srini underdog - March 14 2026.csv,352,2194,Darius Garland,PR,UNDER,54.1%,DO NOT BET,D,❌ MISS,51.48,0.5720100677125164,0.44971174278819237,0.4622014406672564,0.4584602067315036,0.49407702047654983,0.6147531231409875,1.0,0.997
AI Picks by Srini underdog - March 10 2026.csv,462,2195,Giannis Antetokounmpo,PA,OVER,55.90%,DO NOT BET,D,❌ MISS,52.79,0.556202435170003,0.44945207215521754,0.4054911368785819,0.4584602067315036,0.49407702047654983,0.5149974052932018,1.0,0.9848
AI Picks by Srini underdog - March 15 2026.csv,284,2196,Evan Mobley,PRA,UNDER,52.3%,DO NOT BET,D,❌ MISS,53.16,0.5518287084573783,0.4494378959693197,0.4730352303523035,0.4584602067315036,0.49407702047654983,0.45512195121951216,1.0,0.9917
AI Picks by Srini underdog - March 12 2026.csv,408,2197,Jalen Johnson,PRA,UNDER,52.5%,DO NOT BET,D,✅ HIT,51.7,0.5689291215982445,0.44939108500042324,0.4730352303523035,0.4584602067315036,0.49407702047654983,0.6164260826281732,1.0,0.9975
AI Picks by Srini underdog - March 10 2026.csv,477,2198,Collin Sexton,PR,UNDER,53.60%,DO NOT BET,D,NO GAME,52.43,0.5603370724715885,0.4493872928233266,0.4622014406672564,0.4584602067315036,0.49407702047654983,0.5170731707317073,1.0,0.9929
AI Picks by Srini underdog - March 11 2026.csv,322,2199,Josh Hart,PRA,UNDER,51.20%,DO NOT BET,D,NO GAME,52.29,0.5619235052053458,0.44934813770885496,0.4730352303523035,0.4584602067315036,0.49407702047654983,0.591869918699187,1.0,0.9949
AI Picks by Srini underdog - March 11 2026.csv,274,2200,Donovan Mitchell,PA,OVER,52.60%,DO NOT BET,D,❌ MISS,53.75,0.5447348084618211,0.44933756433602345,0.4054911368785819,0.4584602067315036,0.49407702047654983,0.5138211382113821,1.0,0.9822
AI Picks by Srini underdog - March 12 2026.csv,419,2201,Nikola Jokić,3PM,OVER,50.5%,DO NOT BET,S,✅ HIT,50.82,0.5791660885916812,0.44931728480012667,0.5747041267881033,0.5869918699186992,0.49407702047654983,0.4297199638663053,1.0,0.9965
AI Picks by Srini underdog - March 12 2026.csv,432,2202,Desmond Bane,RA,UNDER,54.6%,DO NOT BET,C,✅ HIT,49.82,0.5905513596433315,0.44907245104502846,0.5152613240418118,0.4925952315702933,0.49407702047654983,0.6368342458934793,1.0,0.9955
AI Picks by Srini underdog - March 15 2026.csv,248,2203,Cooper Flagg,PA,UNDER,53.6%,DO NOT BET,D,❌ MISS,54.2,0.5389943831960299,0.4490466548856611,0.4054911368785819,0.4584602067315036,0.49407702047654983,0.4270168855534709,1.0,0.973
