confidence_bin,hits,misses,count,accuracy
0.50-0.55,435,407,842,0.5166270783847982
0.55-0.60,370,358,728,0.5082417582417582
0.60-0.65,224,247,471,0.47558386411889597
0.65-0.70,130,89,219,0.593607305936073
0.70-0.75,73,61,134,0.5447761194029851
0.75-0.80,38,14,52,0.7307692307692307
0.80-0.85,9,4,13,0.6923076923076923
0.85-0.90,1,0,1,1.0
0.90-0.95,0,0,0,
0.95-1.00,0,0,0,
