Confidence_num,Rank Score,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement_ratio_num
1.0,0.927526603772554,-0.3504578629521049,-0.24187836722837355,-0.22590035661938582,-0.15965783370710776,-0.04385326795795085,0.37949671768631993,0.2513425371385193,-0.025857070100024297,0.4087307786212715
0.927526603772554,1.0,-0.12623413238493814,-0.17886265959411038,-0.007607927603160805,-0.11728242770050605,0.08028811738775801,0.41862870416480175,0.2547854506874104,-0.03440489908941328,0.38816112145679427
-0.3504578629521049,-0.12623413238493814,1.0,0.026738701770573643,0.08417196639168746,-0.002077926254277974,0.31568477423151037,0.0005030881036301309,0.06346327771264482,-0.006092773479819303,-0.10092183669761197
-0.24187836722837355,-0.17886265959411038,0.026738701770573643,1.0,-0.057279415941815036,0.6211121671446724,-0.5456839739001286,-0.496842421315881,-0.7745260953604952,0.008035555925342056,-0.07210621533314066
-0.22590035661938582,-0.007607927603160805,0.08417196639168746,-0.057279415941815036,1.0,-0.04346041885992888,0.08984483749915283,0.04575333086259818,0.07194736485737646,0.006696034772923868,-0.09096730353132632
-0.15965783370710776,-0.11728242770050605,-0.002077926254277974,0.6211121671446724,-0.04346041885992888,1.0,-0.8335700343693354,-0.3578685691984601,-0.6191733861933993,0.03079130606990025,-0.09435018693388858
-0.04385326795795085,0.08028811738775801,0.31568477423151037,-0.5456839739001286,0.08984483749915283,-0.8335700343693354,1.0,0.3104931975827873,0.5757274600601899,-0.037346546094297224,0.009492052497568433
0.37949671768631993,0.41862870416480175,0.0005030881036301309,-0.496842421315881,0.04575333086259818,-0.3578685691984601,0.3104931975827873,1.0,0.6624100751648675,-0.02431513799705153,0.14474682869942743
0.2513425371385193,0.2547854506874104,0.06346327771264482,-0.7745260953604952,0.07194736485737646,-0.6191733861933993,0.5757274600601899,0.6624100751648675,1.0,-0.01723770492589039,0.09228124524374935
-0.025857070100024297,-0.03440489908941328,-0.006092773479819303,0.008035555925342056,0.006696034772923868,0.03079130606990025,-0.037346546094297224,-0.02431513799705153,-0.01723770492589039,1.0,-0.28701905697219315
0.4087307786212715,0.38816112145679427,-0.10092183669761197,-0.07210621533314066,-0.09096730353132632,-0.09435018693388858,0.009492052497568433,0.14474682869942743,0.09228124524374935,-0.28701905697219315,1.0
