confidence_bin,hits,misses,count,accuracy
0.50-0.55,452,460,912,0.4956140350877193
0.55-0.60,373,358,731,0.5102599179206566
0.60-0.65,207,213,420,0.4928571428571429
0.65-0.70,130,95,225,0.5777777777777777
0.70-0.75,65,44,109,0.5963302752293578
0.75-0.80,37,17,54,0.6851851851851852
0.80-0.85,5,3,8,0.625
0.85-0.90,1,0,1,1.0
0.90-0.95,0,0,0,
0.95-1.00,0,0,0,
