confidence_bin,hits,misses,count,accuracy
0.50-0.55,442,439,881,0.5017026106696936
0.55-0.60,371,371,742,0.5
0.60-0.65,218,223,441,0.4943310657596372
0.65-0.70,126,83,209,0.6028708133971292
0.70-0.75,73,55,128,0.5703125
0.75-0.80,36,15,51,0.7058823529411765
0.80-0.85,5,2,7,0.7142857142857143
0.85-0.90,1,0,1,1.0
0.90-0.95,0,0,0,
0.95-1.00,0,0,0,
