confidence_bin,hits,misses,count,accuracy
0.50-0.55,426,427,853,0.49941383352872215
0.55-0.60,371,362,733,0.5061391541609823
0.60-0.65,213,232,445,0.4786516853932584
0.65-0.70,134,94,228,0.5877192982456141
0.70-0.75,73,56,129,0.5658914728682171
0.75-0.80,39,17,56,0.6964285714285714
0.80-0.85,10,5,15,0.6666666666666666
0.85-0.90,1,0,1,1.0
0.90-0.95,0,0,0,
0.95-1.00,0,0,0,
