Tier,hits,misses,no_games,total,graded,accuracy,coverage
A,174,110,18,302,284,0.6126760563380281,0.9403973509933775
S,147,102,19,268,249,0.5903614457831325,0.9291044776119403
B,305,243,33,581,548,0.5565693430656934,0.9432013769363167
C,213,220,30,463,433,0.49191685912240185,0.9352051835853131
D,433,513,60,1006,946,0.45771670190274844,0.9403578528827038
